[Heroes Archive] (SERRA)


Heroes Message Name: Message


MID_SERRA_HOME1: 聖女艾莉彌……\n請保佑大家平安無事……\n還有，請讓大家都臣服於我……
MID_SERRA_HOME2: 這是秘密……其實，我是\n某個伯爵家的千金小姐喔。\n你看，不覺得我的氣質很高貴嗎？
MID_SERRA_HOME3: 要是累了或是受傷了，要跟我說喔。\n我是修女，可以幫你治療。\n當然，你要給我謝禮哦。
MID_SERRA_HOME4: 我想要一個能對我絕對服從，\n願意為我赴湯蹈火在所不惜的僕人，\n你要不要試試看？
MID_SERRA_HOME5: 願望只能有一個？\n嗯～我想要名聲、酬勞、寶石、\n奢華大餐、英俊的男子、還有……
MID_SERRA_FRIEND: 我是賽拉。\n我可是特地來跟你打招呼的，\n要好好感謝我喔！
MID_SERRA_LEVEL1: 我就知道！\n我果然是個人才呢～
MID_SERRA_LEVEL2: 呵呵！這就是我\n出身高貴的證據。
MID_SERRA_LEVEL3: 怎、怎麼可能！\n我不相信！
MID_SERRA_SKILL: 咦～？我變強了嗎？\n是比之前更厲害的意思嗎？
MID_SERRA_JOIN: 我是賽拉。\n人家是個嬌弱的修女，\n所以不要為難人家哦。
MID_SERRA_STRONGEST: 啊啊……\n聖女艾莉彌……\n為何只有我遭遇到這種事……$k$p難道不是嗎？\n還不都是因為你為難嬌弱的我，\n把我當傭人使喚……$k$p都是你害的，\n我才會變得這麼強，不是嗎？\n唉……我細緻的肌膚都要變粗糙了啦。$k$p不過，受到眾人依賴的感覺\n其實還不賴呢。\n……而且可以助你一臂之力……$k$p今後我也會繼續幫你的。\n所以你要稱呼我為賽拉大人喔。\n知道了嗎？
MID_SERRA_VOICE01: 嘿！
MID_SERRA_VOICE02: 真是的！
MID_SERRA_VOICE03: 呀啊～！
MID_SERRA_VOICE04: 討……討厭！
MID_SERRA_VOICE05: 人家很嬌弱的！
MID_SERRA_VOICE06: 絕對服從！
MID_SERRA_VOICE07: 太過分了啦！
MID_SERRA_VOICE08: 人家很可憐耶！
MID_SERRA_VOICE09: 神明欺負人家……！
MID_SERRA_VOICE10: 呵呵。
MID_SERRA_VOICE11: 要感謝我喔！
MID_SERRA_VOICE12: 都是我賽拉大人的功勞喔。
MID_SERRA_VOICE13: 要給我什麼禮物嗎？
MID_SERRA_VOICE14: 嗯？要幫我按摩肩膀嗎？
MID_SERRA_VOICE15: 啊～討厭，我細緻的肌膚都要變粗糙了啦。
MID_SERRA_VOICE16: ……因為我是伯爵家的千金，所以……
MID_SERRA_VOICE17: 你要好好保護我喔！
MID_SERRA_VOICE18: 好～
MID_SERRA_VOICE19: 包在我身上！
MID_SERRA_VOICE20: 要上了喔！
