[Heroes Archive] (SHARON)


Heroes Message Name: Message


MID_SHARON_HOME1: 哥哥真是的，總是不肯\n把事情交給我處理。\n是因為我實力還不夠嗎……
MID_SHARON_HOME2: 我想跟這些英雄變得更親近一點！\n我要結交上千位英雄友人……簡稱英友！
MID_SHARON_HOME3: 你該不會在巡邏吧！？\n真不愧是$Nu……\n就連警戒的模樣也帥到不行！
MID_SHARON_HOME4: 啊！$Nu！\n等一下要不要跟我聊聊？\n別看我這樣，我可是很擅長傾聽的喔！
MID_SHARON_HOME5: 我剛剛在寫要給母親的信。\n我們雖然住在同一座城堡裡，\n還是很難得見到一面嘛……
MID_SHARON_FRIEND: 你好啊！\n喔喔……這裡就是異界亞斯克啊。\n這邊的我過得好嗎？
MID_SHARON_LEVEL1: 這就是那個吧，\n我的時代來臨了對吧。
MID_SHARON_LEVEL2: 第一公主夏蓉，\n為了你而變得更強了！
MID_SHARON_LEVEL3: 啊哈哈……\n除了抱歉還是抱歉呢。
MID_SHARON_SKILL: 你要給我力量嗎！？\n我開心得好像快要昏倒了……！
MID_SHARON_STRONGEST: $Nu！\n你是來找我聊天的吧？\n這是我的榮幸！來來來，這邊請！$k$p耶嘿嘿。這樣一來就多了好多相處的時間，\n我真的好高興哦。\n那個，$Nu……$k$p我、我真的很喜歡你。\n當然只做機關裡的夥伴也不錯，不過，\n若不嫌棄的話，希望今後可以當朋友……$k$p……咦！？你早就覺得我們是朋友了！？\n萬、萬、萬歲～！嗚嗚……！！\n我太高興了，眼淚鼻涕都……！$k$p我這輩子都不會忘了今天的！\n因為從今以後，我也會一直……\n一直最喜歡你的！\n
MID_SHARON_VOICE01: 喝！
MID_SHARON_VOICE02: 如何！？
MID_SHARON_VOICE03: 呀！
MID_SHARON_VOICE04: 你幹什麼啦～！？
MID_SHARON_VOICE05: 夏蓉出擊！
MID_SHARON_VOICE06: 竟敢當著淑女的面！
MID_SHARON_VOICE07: 發現弱點！
MID_SHARON_VOICE08: 退下吧！
MID_SHARON_VOICE09: 失敗……了……
MID_SHARON_VOICE10: 呵呵！
MID_SHARON_VOICE11: 你好啊！
MID_SHARON_VOICE12: 啊哈哈，偷襲是卑鄙的行為喔！
MID_SHARON_VOICE13: 幹勁絕對不輸人的夏蓉來也！
MID_SHARON_VOICE14: 這話你可別說出去……你是我哥哥的菜哦！
MID_SHARON_VOICE15: 有你加入的特務機關……不知為何感覺就是很棒。
MID_SHARON_VOICE16: 要是我也有召喚能力的話，\n就能交到很多英雄朋友了……
MID_SHARON_VOICE17: 你就是我的偶像。\n從今以後，我也會一～～直都是你的粉絲喔！
MID_SHARON_VOICE18: 是！
MID_SHARON_VOICE19: 是我吧！
MID_SHARON_VOICE20: 我們走吧！
MID_SHARON_VOICE21: ファイアーエムブレム！
MID_SHARON_VOICE22: 暗黒竜と光の剣
MID_SHARON_VOICE23: 外伝
MID_SHARON_VOICE24: 紋章の謎
MID_SHARON_VOICE25: 聖戦の系譜
MID_SHARON_VOICE26: トラキア７７６
MID_SHARON_VOICE27: 封印の剣
MID_SHARON_VOICE28: 烈火の剣
MID_SHARON_VOICE29: 聖魔の光石
MID_SHARON_VOICE30: 蒼炎の軌跡
MID_SHARON_VOICE31: 暁の女神
MID_SHARON_VOICE32: 新・暗黒竜と光の剣
MID_SHARON_VOICE33: 新・紋章の謎
MID_SHARON_VOICE34: 覚醒
MID_SHARON_VOICE35: ｉｆ
MID_SHARON_VOICE36: 活動進行中！
MID_SHARON_VOICE37: 大戰已經開始了喔！
MID_SHARON_VOICE38: 強敵好像出現了！
MID_SHARON_VOICE39: 有新英雄現身了喔！
MID_SHARON_VOICE40: 請稍等一下喔。
MID_SHARON_VOICE_BRAVE: ブレイヴ
MID_SHARON_VOICE_HEROES: ヒーローズ
