[Heroes Archive] (SHARON_SPRING02)


Heroes Message Name: Message


MID_SHARON_SPRING02_HOME1: 你有看到哥哥春祭的造型嗎？\n很適合對吧。呵呵。
MID_SHARON_SPRING02_HOME2: 聽說在異界，\n有著能變身成兔子的兔子英雄喔！\n希望有一天可以跟他變成兔友！
MID_SHARON_SPRING02_HOME3: $Nu，\n你要不要也換上兔子裝呢？\n大家一起穿就不會害羞了！
MID_SHARON_SPRING02_HOME4: 啊，$Nu，\n要不要一起訓練呢？\n沒錯，當然是練習兔子跳！
MID_SHARON_SPRING02_HOME5: 我母親也很喜歡祭典。\n如果用這身打扮向她問安的話，\n她一定會很開心的！
MID_SHARON_SPRING02_FRIEND: 祝你安好蹦！\n春祭的招呼語……就這麼決定了！\n啊，這是$Nf傳來的。
MID_SHARON_SPRING02_LEVEL1: 是春天！\n春天來了！
MID_SHARON_SPRING02_LEVEL2: 兔子跳的訓練成效出來了！
MID_SHARON_SPRING02_LEVEL3: 春天讓人昏昏欲睡呢……
MID_SHARON_SPRING02_SKILL: 要給我這麼棒的力量！？\n開心到要跳起來了！
MID_SHARON_SPRING02_JOIN: 我是亞斯克王國的公主夏蓉！\n預備……\n春祭加油蹦！
MID_SHARON_SPRING02_STRONGEST: $Nu！\n如何呀？你差不多做好……\n跟我一起變身成兔子的覺悟了嗎……？$k$p咦～沒什麼好害羞的啦！\n沒關係的，一下下就好！\n只是穿一下下而已嘛！$k$p不管怎樣……你都不願意嗎？\n怎麼這樣……\n我其實也很害羞呀……$k$p可是一想到$Nu\n說不定會覺得開心……\n所以我才……下定決心……$k$p啊，你剛剛是不是有一瞬間想穿了呢？\n沒有嗎！真可惜！
MID_SHARON_SPRING02_VOICE01: 嘿～！
MID_SHARON_SPRING02_VOICE02: 蹦！
MID_SHARON_SPRING02_VOICE03: 呀啊啊！
MID_SHARON_SPRING02_VOICE04: 請住手～！
MID_SHARON_SPRING02_VOICE05: Spring has come！
MID_SHARON_SPRING02_VOICE06: 不論何時都是春天！
MID_SHARON_SPRING02_VOICE07: 讓你暖洋洋！
MID_SHARON_SPRING02_VOICE08: 我是兔子蹦！
MID_SHARON_SPRING02_VOICE09: 冬は…冷たいです…
MID_SHARON_SPRING02_VOICE10: えへへっ
MID_SHARON_SPRING02_VOICE11: あなたのうさぎシャロンですぴょん！
MID_SHARON_SPRING02_VOICE12: ひゃあっ！？　びっくりしちゃいましたー。
MID_SHARON_SPRING02_VOICE13: ぴょん、ってつけた方が良いって教えてもらったんです。
MID_SHARON_SPRING02_VOICE14: ほ、本当はこの格好…恥ずかしいですよう…
MID_SHARON_SPRING02_VOICE15: に、似合ってます？　…そんなに見られたら、照れちゃいますよー。
MID_SHARON_SPRING02_VOICE16: こうなったら、うさぎ英雄のお友達をいっぱい作りたいです。
MID_SHARON_SPRING02_VOICE17: 春が終わっても、わたしはずっとずっと…あなたのうさぎシャロンですぴょん！
MID_SHARON_SPRING02_VOICE18: はいはいはいっ！
MID_SHARON_SPRING02_VOICE19: どうしますぴょん？
MID_SHARON_SPRING02_VOICE20: さすがですっ！
