[Heroes Archive] (SIMA)


Heroes Message Name: Message


MID_SIMA_HOME1: 紮實又牢固，真是座好城。\n城堡是一國的象徵，\n這裡想必是個美好的國家吧。
MID_SIMA_HOME2: 作為國王，我還不成氣候……\n即便如此，既然人民支持我，\n我當然不能辜負他們的期待。
MID_SIMA_HOME3: 我一直很感謝你。\n要是我能有所回報就好了……\n有沒有什麼是我幫得上忙的？
MID_SIMA_HOME4: 我剛剛去附近逛了逛，\n人們臉上都洋溢著笑容。\n這個國家的人民讓我很想守護他們呢。
MID_SIMA_HOME5: 你問我這套鎧甲會不會太重……是嗎？\n不，比起王位的重責大任，\n這可說是輕如鴻毛。
MID_SIMA_FRIEND: 我是希瑪。\n我代替$Nf\n前來向你致意。
MID_SIMA_LEVEL1: 我會繼續前進，\n帶著更加強大的力量！
MID_SIMA_LEVEL2: 這樣就夠了，\n要按部就班地提升自己。
MID_SIMA_LEVEL3: ……嗯……再怎麼說，\n成長的步伐也太慢了吧……
MID_SIMA_SKILL: 這是……我的力量嗎……\n有點不敢置信……
MID_SIMA_JOIN: 我是格拉的公主，希瑪。\n父王吉奧爾過世之後……\n我繼承了格拉的王位。
MID_SIMA_STRONGEST: 你原本並不是這個世界的居民……\n而你會出現在這裡的來龍去脈，\n我已經都聽說了。$k$p你為什麼要繼續\n留在這個世界戰鬥？$k$p是為了這個世界的夥伴……\n是因為對他們無法割捨嗎……？$k$p如果是這樣……我也能夠理解。\n因為我無法對需要我的人們\n見死不救……$k$p我也無法放下你不管。\n我答應你，只要你還在這裡，\n我就會繼續支持你。
MID_SIMA_VOICE01: 哼！
MID_SIMA_VOICE02: 嘿！
MID_SIMA_VOICE03: 嗚啊～！
MID_SIMA_VOICE04: 鎧甲……
MID_SIMA_VOICE05: 這可不輕喔！
MID_SIMA_VOICE06: 我要上了！
MID_SIMA_VOICE07: 為了人民！
MID_SIMA_VOICE08: 絕不輕言放棄！
MID_SIMA_VOICE09: 原諒我……
MID_SIMA_VOICE10: 嗯……
MID_SIMA_VOICE11: 有什麼話想說嗎？
MID_SIMA_VOICE12: 抱歉，我不懂得如何表現女人味。
MID_SIMA_VOICE13: 作為一國之王，我不值得依賴……
MID_SIMA_VOICE14: 這身鎧甲是我祖國的驕傲。
MID_SIMA_VOICE15: 我很頑固……經常有人這麼說。
MID_SIMA_VOICE16: 不知道我的人民是否平安……？
MID_SIMA_VOICE17: 我相信你。
MID_SIMA_VOICE18: 我明白了。
MID_SIMA_VOICE19: 要守護哪裡？
MID_SIMA_VOICE20: 按部就班前進吧。
