[Heroes Archive] (SURTR_MIKATA01)


Heroes Message Name: Message


MID_SURTR_MIKATA01_HOME1: 溫熱的風啊……\n這些沉浸在安寧中的人民……\n睡眼惺忪的無能之徒。
MID_SURTR_MIKATA01_HOME2: 弱者必須被欺凌、被奪取、被殺害。\n這就是穆斯貝爾王國的律法。
MID_SURTR_MIKATA01_HOME3: 我的女兒們只不過是我手中的棋子，\n倘若派不上用場，殺了她們即可。\n所謂的父母不就是這樣嗎？
MID_SURTR_MIKATA01_HOME4: 在歷代穆斯貝爾王族之中……\n沒有任何人像本王一樣\n繼承了如此鮮明濃郁的火炎。
MID_SURTR_MIKATA01_HOME5: 你是勝者，\n儘管為此驕傲、自滿吧。\n勝者必須獲得一切。
MID_SURTR_MIKATA01_FRIEND: 跪下。\n我是斯爾特，我是王。
MID_SURTR_MIKATA01_LEVEL1: 我就是火焰！\n就連神我也能燒得一乾二淨！
MID_SURTR_MIKATA01_LEVEL2: 咕哈哈哈哈哈哈哈！\n沒錯，就是這樣！
MID_SURTR_MIKATA01_LEVEL3: 本王……\n竟然會露出這番醜態……
MID_SURTR_MIKATA01_SKILL: 我的火炎正在猛烈躁動……\n渴望著敵人的死！
MID_SURTR_MIKATA01_JOIN: 我是斯爾特。\n連墮入死之王國的我都納為屬下……\n能做到這件事的果然就是你了……
MID_SURTR_MIKATA01_STRONGEST: 強者必須支配一切，\n這就是我的律法。$k$p既然我敗給了你……\n我就必須服從於你。\n命令我吧。$k$p我就是火炎，\n我會依你所願燒盡一切。$k$p不需誇大的志向或理想，\n強者必須殺了那些妄言妄語的弱者，\n並君臨一切。$k$p來，釋放我的火炎吧！\n直到燒盡九界為止……！
MID_SURTR_MIKATA01_VOICE01: 放肆！
MID_SURTR_MIKATA01_VOICE02: 可笑！
MID_SURTR_MIKATA01_VOICE03: 嗚啊啊！
MID_SURTR_MIKATA01_VOICE04: 有兩下子……
MID_SURTR_MIKATA01_VOICE05: 燃燒殆盡吧！
MID_SURTR_MIKATA01_VOICE06: 膽敢反抗國王！
MID_SURTR_MIKATA01_VOICE07: 化成灰吧！
MID_SURTR_MIKATA01_VOICE08: 我熱血沸騰了！
MID_SURTR_MIKATA01_VOICE09: 怎……怎麼可能……！
MID_SURTR_MIKATA01_VOICE10: 呵哈哈。
MID_SURTR_MIKATA01_VOICE11: 我是斯爾特，穆斯貝爾之王。臣服於我吧。
MID_SURTR_MIKATA01_VOICE12: 只要是碰觸我的人，都會被火焰吞噬。
MID_SURTR_MIKATA01_VOICE13: 我的女兒、我的人民……都只不過是替我的火焰助燃的柴薪罷了。
MID_SURTR_MIKATA01_VOICE14: 我體內的血液追求的是……更熾熱的火焰。
MID_SURTR_MIKATA01_VOICE15: 我要燒盡一切……不管是敵人或是夥伴，甚至連我自己也……
MID_SURTR_MIKATA01_VOICE16: 我敗給你了嗎……？
MID_SURTR_MIKATA01_VOICE17: 我所邂逅的人們的心靈……都已被穆斯貝爾之炎焚毀消逝……
MID_SURTR_MIKATA01_VOICE18: 瞭解。
MID_SURTR_MIKATA01_VOICE19: 我就是火焰！
MID_SURTR_MIKATA01_VOICE20: 燃燒吧。
