[Heroes Archive] (SUZUKAZE)


Heroes Message Name: Message


MID_SUZUKAZE_HOME1: 特務機關的服裝真美。\n白夜王國的國王也像您一樣，\n身穿以白色為主的和服。
MID_SUZUKAZE_HOME2: 我是效忠於白夜王城的忍者。\n不過，因為我幼時犯了錯，\n所以沒有特定的主君……
MID_SUZUKAZE_HOME3: 您看起來很忙的樣子，會不會過於疲憊？\n有什麼我能幫忙的話，請儘管開口。\n我一直都很擔心您。
MID_SUZUKAZE_HOME4: 上戰場的時候，請把我帶在身邊。\n您在軍中身居要職……\n哪怕是粉身碎骨，我也會保護您。
MID_SUZUKAZE_HOME5: 我在找藏身之處……\n因為我是忍者。\n本來應該要隱匿蹤跡隨侍在您左右才對。
MID_SUZUKAZE_FRIEND: 我前來傳達$Nf殿下\n捎給您的問候。請過目。
MID_SUZUKAZE_LEVEL1: 我會以這個結果來勉勵自己更加努力。
MID_SUZUKAZE_LEVEL2: 我想用我這份力量來幫助各位。
MID_SUZUKAZE_LEVEL3: 抱歉……\n下次一定……
MID_SUZUKAZE_SKILL: 感謝您賜予我新的力量。
MID_SUZUKAZE_JOIN: 我是白夜王國的忍者，名叫涼風。\n彩造是我的孿生哥哥……\n我們會一同成為您的助力。
MID_SUZUKAZE_STRONGEST: $Nu殿下。\n感謝您總是與我搭話。$k$p不過，雖說我隨侍在您左右，\n但您無須顧慮我的存在。\n請把我當成石子一般視若無睹即可……$k$p……咦？您並不是顧慮，\n而是想跟我說話，所以才……？\n我、我真是受寵若驚……！$k$p如果您願意與我交談，\n請隨時吩咐我一聲。\n我將全力以赴、使命必達。$k$p您認為我是必要的，我很開心。\n我今後也會努力自我提升，\n請務必讓我隨侍在您左右。
MID_SUZUKAZE_VOICE01: 喝！
MID_SUZUKAZE_VOICE02: 嘿呀！
MID_SUZUKAZE_VOICE03: 唔哇！
MID_SUZUKAZE_VOICE04: 厲害……
MID_SUZUKAZE_VOICE05: 到此為止了。
MID_SUZUKAZE_VOICE06: 心無雜念……
MID_SUZUKAZE_VOICE07: 請恕罪。
MID_SUZUKAZE_VOICE08: 納命來。
MID_SUZUKAZE_VOICE09: 我……輸了……
MID_SUZUKAZE_VOICE10: 呵呵！
MID_SUZUKAZE_VOICE11: 我會隨侍在您左右。
MID_SUZUKAZE_VOICE12: 您也有家臣嗎？
MID_SUZUKAZE_VOICE13: 如果是任務的話，請您盡管吩咐。
MID_SUZUKAZE_VOICE14: 我曾經有很長一段時間沒有主君。不過，現在……
MID_SUZUKAZE_VOICE15: 剛才有位陌生的女人送了青菜給我。
MID_SUZUKAZE_VOICE16: 在人生地不熟的地方，希望哥哥不要亂來才好。
MID_SUZUKAZE_VOICE17: 如果需要偵察的話，請盡管吩咐……\n因為我是忍者，匿蹤行動是我的強項。
MID_SUZUKAZE_VOICE18: 是。
MID_SUZUKAZE_VOICE19: 交給我吧。
MID_SUZUKAZE_VOICE20: 走吧。
