[Heroes Archive] (TAKUMI_SUMMER04)


Heroes Message Name: Message


MID_TAKUMI_SUMMER04_HOME1: 蔚藍的天空、奇特形狀的白雲，\n還有無邊無際的海洋……\n南國真是個好地方啊。
MID_TAKUMI_SUMMER04_HOME2: 來南國之前，我跟龍馬哥哥他們\n進行了一場賭上招待券的對決。\n我很感謝日向跟朧的幫忙，非常感謝。
MID_TAKUMI_SUMMER04_HOME3: 我拿飲料過來了，這個給你。\n要好好補充水分才能對抗炎熱的天氣嘛。
MID_TAKUMI_SUMMER04_HOME4: 我這件泳裝很棒吧？\n是朧幫我選的。\n你若無法抉擇的話可以找她商量唷。
MID_TAKUMI_SUMMER04_HOME5: 到了遠方雖然會懷念家鄉的味道，\n但這裡的料理跟氣氛也非常耐人尋味呢。
MID_TAKUMI_SUMMER04_FRIEND: 我是拓海，\n替$Nf向你問候。\n你對我這身打扮感到很好奇嗎？
MID_TAKUMI_SUMMER04_LEVEL1: 感覺太棒了，\n夏天果然就是要來海邊！
MID_TAKUMI_SUMMER04_LEVEL2: 夏天的陽光真舒服啊。
MID_TAKUMI_SUMMER04_LEVEL3: 嗯……我可能……\n游得有點累了吧。
MID_TAKUMI_SUMMER04_SKILL: 謝謝！\n感覺可以靠這股力量充分享受夏天了！
MID_TAKUMI_SUMMER04_JOIN: 好～我要跳囉──！\n……唔、咦？你是誰？\n我是……白夜王國的拓海。
MID_TAKUMI_SUMMER04_STRONGEST: 我之前待的南國島嶼\n是個比想像中還要棒的地方，\n每天都過得很刺激。$k$p突然從那樂園般的地方被叫來這裡……\n起初我是有些不滿沒錯啦，\n不過只有一點點啦。$k$p但是這裡的生活跟在南國一樣快樂……\n彷彿有股能讓我自然展現笑容的力量。$k$p雖然我也不是不感謝你，\n但是在那個南國，\n我還有些想做的事情沒有完成……$k$p所以我們快點結束掉這場戰爭，\n一起到南國島嶼玩吧！\n就這麼說好了，$Nu。
MID_TAKUMI_SUMMER04_VOICE01: 喝！
MID_TAKUMI_SUMMER04_VOICE02: 這招如何！
MID_TAKUMI_SUMMER04_VOICE03: 哇啊！
MID_TAKUMI_SUMMER04_VOICE04: 幹嘛啦──！
MID_TAKUMI_SUMMER04_VOICE05: 海邊棒極了，對吧！
MID_TAKUMI_SUMMER04_VOICE06: 南國攻擊！
MID_TAKUMI_SUMMER04_VOICE07: 看我擊沉你！
MID_TAKUMI_SUMMER04_VOICE08: 南國島嶼最棒了！
MID_TAKUMI_SUMMER04_VOICE09: 浜辺で…休んでくるよ…
MID_TAKUMI_SUMMER04_VOICE10: どうしたの？
MID_TAKUMI_SUMMER04_VOICE11: 南の島…本当はすごく、行きかったんだ
MID_TAKUMI_SUMMER04_VOICE12: これは特注の水着なんだ、なかなかいいだろう？
MID_TAKUMI_SUMMER04_VOICE13: 何だよ、そんなにヒマなら浜辺で追いかけっこでもするか？
MID_TAKUMI_SUMMER04_VOICE14: あはは、そんなに触っても別に貝殻とかはついてないよ
MID_TAKUMI_SUMMER04_VOICE15: 南国に来られたのは、僕の有能な臣下たちのおかげなんだ
MID_TAKUMI_SUMMER04_VOICE16: はあ…目を閉じると思い出すよ、青い海ときれいな空…
MID_TAKUMI_SUMMER04_VOICE17: あんたに呼ばれた時はすごく驚いたけど…\nここもいい場所みたいだし、楽しんで帰ろうかな
MID_TAKUMI_SUMMER04_VOICE18: あはは
MID_TAKUMI_SUMMER04_VOICE19: 泳ぎに行こっか
MID_TAKUMI_SUMMER04_VOICE20: 飛び込みたいなー
