[Heroes Archive] (TIAMO)


Heroes Message Name: Message


MID_TIAMO_HOME1: 看著特務機關，\n就會讓我想起天馬騎士團呢。\n前輩……我現在也正在努力……
MID_TIAMO_HOME2: 我以前待過伊里斯的天馬騎士團。\n雖然大家都過世了，不過……他們的靈魂\n一直都與我同在。這就是騎士團的教誨。
MID_TIAMO_HOME3: 就算是為了工作，也千萬不要逞強。\n因為召喚師只有你一個人而已，\n拜託你一定要保護好自己。
MID_TIAMO_HOME4: 希望你下次能讓我看看召喚時的情況。\n只有你能使用的神器，真令人好奇……\n我也想知道我是怎麼來到這裡的。
MID_TIAMO_HOME5: 我剛才在清點裝備以及武器庫存。\n我向安娜隊長報告之後，\n她就遊說我加入機關……我可以加入嗎？
MID_TIAMO_FRIEND: 很高興能夠見到你。\n是$Nf拜託我\n來跟你打聲招呼的喔。
MID_TIAMO_LEVEL1: 努力有了回報，\n真是令人欣慰。
MID_TIAMO_LEVEL2: 這種程度是理所當然的。
MID_TIAMO_LEVEL3: 抱歉，\n請期待下次吧。
MID_TIAMO_SKILL: 謝謝你賜給我新的力量。\n我會繼續精進，不會讓你後悔的。
MID_TIAMO_JOIN: 我叫蒂亞莫。\n我是庫洛武大人所率領的伊里斯軍的一員。\n為了達成你的期望，我會全力以赴喔。
MID_TIAMO_STRONGEST: 召喚英雄……說不定我也辦的到……\n好像是用這個架式，然後這樣射出去吧。\n嗯、嗯，動作應該很完美……咦？$k$p呀！$Nu！？\n剛剛的你都看到了！？\n討厭！你怎麼不打聲招呼呢！？$k$p咦？你說你覺得很有趣？\n還說我的動作有點脫線！？\n真是的，偷看人家還這樣講，沒禮貌！$k$p……不過，我有點開心喔。\n與其被稱為天才，\n我想我還是比較喜歡人家這樣講我。$k$p不過，戰鬥的時候，我決不會鬆懈，\n一定會全力以赴喔。\n因為你太重要了，我一定會保護你的。\n
MID_TIAMO_VOICE01: 喝！
MID_TIAMO_VOICE02: 嘿！
MID_TIAMO_VOICE03: 呀……！
MID_TIAMO_VOICE04: 我會撐下去的……！
MID_TIAMO_VOICE05: 我一定可以……！
MID_TIAMO_VOICE06: 真難纏耶！
MID_TIAMO_VOICE07: 我是不可能會輸的。
MID_TIAMO_VOICE08: 有破綻！
MID_TIAMO_VOICE09: 竟然……會這樣……
MID_TIAMO_VOICE10: 呵呵！
MID_TIAMO_VOICE11: 我才不是什麼天才呢。
MID_TIAMO_VOICE12: 你可曾談過註定不會有結果的戀愛？
MID_TIAMO_VOICE13: 我也去報名參加特務機關的測驗試試看好了。
MID_TIAMO_VOICE14: 唉……啊！我又嘆氣了嗎？
MID_TIAMO_VOICE15: 請不要盯著我的胸部看。我會用短槍丟你喔！
MID_TIAMO_VOICE16: 我得更加努力才行。這也是為了曾經保護過我的人們……
MID_TIAMO_VOICE17: 我知道很多這個國家的事情喔。還有你的事情也是。
MID_TIAMO_VOICE18: 嗯。
MID_TIAMO_VOICE19: 找我嗎？
MID_TIAMO_VOICE20: 遵命。
