[Heroes Archive] (TIKI)


Heroes Message Name: Message


MID_TIKI_HOME1: 嘩……這個城堡\n有一股很香的味道。\n我好像有點睏了。
MID_TIKI_HOME2: 琪姬呀、琪姬呀！\n呃……\n現在真的很開心喔！
MID_TIKI_HOME3: 因為$Nu\n把琪姬叫了過來，讓琪姬可以\n像這樣跟大家在一起嘛。謝謝你！
MID_TIKI_HOME4: 之前啊，琪姬做過好幾次可怕的夢喔。\n夢到琪姬變成野獸……\n不過現在已經沒事了。
MID_TIKI_HOME5: 琪姬上次到城裡去啊，\n大家都對琪姬很好喔。\n真的很開心耶。
MID_TIKI_FRIEND: 你好！\n琪姬來跟你打招呼了。
MID_TIKI_LEVEL1: 琪姬……不知道為什麼……\n覺得有點熱……
MID_TIKI_LEVEL2: 琪姬盡力了喔。
MID_TIKI_LEVEL3: 琪姬有點睏了……
MID_TIKI_SKILL: 琪姬好像\n變得很厲害了！
MID_TIKI_JOIN: 琪姬可以不用再睡了嗎？\n可以跟大家在一起嗎？\n好開心！
MID_TIKI_STRONGEST: 耶嘿嘿、耶嘿嘿～\n琪姬真的好開心喔。\n因為，琪姬不再是孤單一人了嘛。$k$p跟這個城堡裡的夥伴們\n一起開心地聊天……\n琪姬真的很喜歡這樣喔～！$k$p因為$Nu\n把琪姬召喚過來，\n而且一直都陪在琪姬身邊嘛。$k$p$Nu，\n琪姬最喜歡你了！\n要跟琪姬永遠在一起喔！
MID_TIKI_VOICE01: 嘿！
MID_TIKI_VOICE02: 呀！
MID_TIKI_VOICE03: 呀啊～！
MID_TIKI_VOICE04: 好痛喔……
MID_TIKI_VOICE05: 不行……
MID_TIKI_VOICE06: 別過來！
MID_TIKI_VOICE07: 好可怕……
MID_TIKI_VOICE08: 不可以～！
MID_TIKI_VOICE09: 哥……哥……
MID_TIKI_VOICE10: 哦呵呵。
MID_TIKI_VOICE11: 嗯？怎麼啦？
MID_TIKI_VOICE12: 呀啊！琪姬嚇了一大跳。
MID_TIKI_VOICE13: 琪姬做了個可怕的夢喔。
MID_TIKI_VOICE14: 琪姬現在好睏喔……
MID_TIKI_VOICE15: 講故事給琪姬聽嘛。講故事～
MID_TIKI_VOICE16: 呼……呼……
MID_TIKI_VOICE17: 琪姬已經不寂寞了喔。
MID_TIKI_VOICE18: 嗯！
MID_TIKI_VOICE19: 唔呀唔呀……
MID_TIKI_VOICE20: 琪姬會努力的。
MID_TIKI_VOICE21: 你是來見琪姬的嗎？
