[Heroes Archive] (TIKI_SUMMER04)


Heroes Message Name: Message


MID_TIKI_SUMMER04_HOME1: 好棒，好棒喔！\n大海閃亮亮，天空也閃亮亮！\n這邊、那邊，全部都閃閃發光！
MID_TIKI_SUMMER04_HOME2: 琪姬在神殿裡睡了好久……\n對外面的事情一點也不瞭解。\n所以，琪姬很開心可以出來玩！
MID_TIKI_SUMMER04_HOME3: 吶、吶！\n你的背變得好紅喔！\n要不要幫你擦藥？
MID_TIKI_SUMMER04_HOME4: $Nu，\n那邊不是有一隻白鳥嗎？\n要不要跟琪姬一起去找牠聊天？
MID_TIKI_SUMMER04_HOME5: 琪姬用沙子做了哥哥的沙雕，\n可是一下就被海浪打壞了……
MID_TIKI_SUMMER04_FRIEND: 你是$Nf的\n朋友對不對？\n也要跟琪姬當好朋友喔！
MID_TIKI_SUMMER04_LEVEL1: 成功了，成功了──！\n琪姬會為了最重要的大家，\n變得越來越強的！
MID_TIKI_SUMMER04_LEVEL2: 成功了──！\n如果把琪姬當成小孩子，\n可是會受傷的唷！
MID_TIKI_SUMMER04_LEVEL3: 沙子跑進眼睛裡了……\n大家在哪裡呢……？
MID_TIKI_SUMMER04_SKILL: 琪姬好像又變厲害了呢！\n這都要謝謝$Nu。\n琪姬好開心，所以會更努力加油的！
MID_TIKI_SUMMER04_JOIN: 初次見面你好，我是琪姬！\n要一起玩什麼好呢？
MID_TIKI_SUMMER04_STRONGEST: $Nu，\n海洋好大唷！\n竟然有這麼多水，真不可思議！$k$p就算琪姬變成龍，喝到都不想再喝了，\n是不是也喝不完呀？\n咕嚕咕嚕……唔呃！好鹹喔！$k$p海水為什麼這麼鹹啊？\n昨天明明才剛下過雨……\n你說，到底是為什麼呢？$k$p可是海裡的魚吃起來也沒有那麼鹹呀？\n你知道為什麼嗎？$k$p琪姬呀～\n最喜歡跟$Nu聊天了！\n今天也陪琪姬聊到想睡為止吧！
MID_TIKI_SUMMER04_VOICE01: 嘿！
MID_TIKI_SUMMER04_VOICE02: 嘿咻！
MID_TIKI_SUMMER04_VOICE03: 不行！
MID_TIKI_SUMMER04_VOICE04: 欸──！？
MID_TIKI_SUMMER04_VOICE05: 海邊好好玩唷！
MID_TIKI_SUMMER04_VOICE06: 開始覺得熱了……
MID_TIKI_SUMMER04_VOICE07: 一點也不恐怖！
MID_TIKI_SUMMER04_VOICE08: 不～行！
MID_TIKI_SUMMER04_VOICE09: もう…帰る時間…？
MID_TIKI_SUMMER04_VOICE10: えへへ
MID_TIKI_SUMMER04_VOICE11: チキのこの格好、どうかなあ？
MID_TIKI_SUMMER04_VOICE12: ひゃっ！？　な、なになに？
MID_TIKI_SUMMER04_VOICE13: 海は大好き。きれいで、とっても広くって…
MID_TIKI_SUMMER04_VOICE14: チキもいつか、大人っぽくなれるのかな？
MID_TIKI_SUMMER04_VOICE15: 良いゆめ、みたの。みんなといっぱいあそぶゆめ！
MID_TIKI_SUMMER04_VOICE16: ふわぁ…いっぱいあそんで、ねむくなってきちゃった…
MID_TIKI_SUMMER04_VOICE17: チキ、すごくしあわせ。いっしょにいてくれて、ありがとう！
MID_TIKI_SUMMER04_VOICE18: はーい
MID_TIKI_SUMMER04_VOICE19: あつーい
MID_TIKI_SUMMER04_VOICE20: およぎにいくの？
