[Heroes Archive] (TURNER_SUMMER03)


Heroes Message Name: Message


MID_TURNER_SUMMER03_HOME1: 嗯～天氣真好！\n雖然時機可能不太對……\n但好想去沖沖泉水呢。
MID_TURNER_SUMMER03_HOME2: 難得的夏天，\n哥哥卻總是板著臉在想事情……\n偶爾坦率地玩樂也好啊。
MID_TURNER_SUMMER03_HOME3: 吶，$Nu，\n你好像有點勉強耶？是不是太陽太大了？\n一起來陰涼的地方休息吧？
MID_TURNER_SUMMER03_HOME4: 我很喜歡這套泳裝喔。\n穿起來不會不舒服，\n還給人一種徹底解放的舒暢感。
MID_TURNER_SUMMER03_HOME5: 為了不妨礙游泳，\n我把頭髮綁起來了。\n要不要也幫你綁呀？
MID_TURNER_SUMMER03_FRIEND: 初次見面，我是弗萊利亞的塔娜。\n如果你在找好看的泳裝，\n可以拜託$Nf喔！
MID_TURNER_SUMMER03_LEVEL1: 呵呵，一定是多虧了這套泳裝！
MID_TURNER_SUMMER03_LEVEL2: 嗯，感覺很棒呢！
MID_TURNER_SUMMER03_LEVEL3: 呀啊啊！\n泳裝的繩子……！
MID_TURNER_SUMMER03_SKILL: 謝謝。\n我感受到舒服的夏日陽光了。
MID_TURNER_SUMMER03_JOIN: 初次見面，我是塔娜！\n夏天的海非常舒服唷！\n你也一起來玩吧！
MID_TURNER_SUMMER03_STRONGEST: 你看！好漂亮的夕陽！\n一天已經快要結束了，\n總覺得有點寂寞呢。$k$p是不是跟大家一起度過的時間太愉快了，\n才會這麼覺得呢？$k$p能和哥哥他們這樣愜意地過日子……\n簡直就像在作夢。$k$p今後我想好好珍惜跟艾莉可和艾夫拉姆們，\n大家一起守住的和平的每一天……$k$p……因為感覺會被哥哥嘲笑，\n所以剛剛說的話是我們兩人的秘密唷！\n呵呵，明天要玩什麼呢？
MID_TURNER_SUMMER03_VOICE01: 呀啊！
MID_TURNER_SUMMER03_VOICE02: 看招！
MID_TURNER_SUMMER03_VOICE03: 不行！
MID_TURNER_SUMMER03_VOICE04: 我的泳裝……！
MID_TURNER_SUMMER03_VOICE05: 這酷暑算什麼！
MID_TURNER_SUMMER03_VOICE06: 盛夏時期！
MID_TURNER_SUMMER03_VOICE07: 穿著這套泳裝的話……
MID_TURNER_SUMMER03_VOICE08: 好想游泳！
MID_TURNER_SUMMER03_VOICE09: ちゃんと…着替えないと…
MID_TURNER_SUMMER03_VOICE10: えっと…
MID_TURNER_SUMMER03_VOICE11: ねえ、わたしと一緒に泳ぎましょうか？
MID_TURNER_SUMMER03_VOICE12: ひゃっ！？　もう、どうしたの急に？
MID_TURNER_SUMMER03_VOICE13: 泳ぐ前には、こうして身体をほぐしておくの。
MID_TURNER_SUMMER03_VOICE14: わたしの国にも海はあるのよ。泳ぎの経験もあるんだから。
MID_TURNER_SUMMER03_VOICE15: 海にゆったり浮かぶのって…とっても気持ちいいわ。
MID_TURNER_SUMMER03_VOICE16: エイリークったら、恥ずかしがらずに一緒に泳げばいいのに。
MID_TURNER_SUMMER03_VOICE17: あなたが溺れたら、わたし、いっしょうけんめい介抱するわ。
MID_TURNER_SUMMER03_VOICE18: ええ
MID_TURNER_SUMMER03_VOICE19: 汗かいちゃった
MID_TURNER_SUMMER03_VOICE20: 泳ぎましょう
