[Heroes Archive] (VALHALT)


Heroes Message Name: Message


MID_VALHALT_HOME1: 眾多世界的英雄集結於此……\n這正是人類強大力量的光輝。\n我的血液也隨之沸騰！
MID_VALHALT_HOME2: 爭戰不休是這個世界的常態……\n因此，我要用強大的力量步往統治之道！\n為了用人類之力來統治人類之世！
MID_VALHALT_HOME3: 你既然也身為一名將領，\n則行勿敷衍，言勿奉承！\n應始終表現地堂堂正正！
MID_VALHALT_HOME4: 身處戰場，應多留心自身狀況。\n保有強韌意志與健壯身體為重要關鍵……\n換言之，多吃蔬菜！
MID_VALHALT_HOME5: 我日日勤勉，不曾怠於鍛鍊。\n甘於現狀，乃弱者愚行。
MID_VALHALT_FRIEND: 我名為瓦爾哈爾特！\n乃$Nf之友！
MID_VALHALT_LEVEL1: 我的霸道所向，天亦照之！
MID_VALHALT_LEVEL2: ……尚且不足，\n仍未至力量極限……！
MID_VALHALT_LEVEL3: 嗯……\n戰果寥寥。
MID_VALHALT_SKILL: 這就是身為霸王須擁有的力量……！\n與你一同，就可使我力量增長。
MID_VALHALT_JOIN: 我名為瓦爾哈爾特！\n乃於偉大瓦雷姆成就大義、\n統治人世之霸王！
MID_VALHALT_STRONGEST: 嗯……\n首先得說，此計策可謂良策……\n但還欠缺關鍵。$k$p你是否仍以外人視角看待我們的戰爭？\n認為這只是被召喚而來的異界、\n假想的戰場……？$k$p非也，絕非如此！\n既然你已被視為英雄，寄予厚望，\n就該知曉戰爭早以在你身邊！$k$p並且，戰爭最後的成敗關鍵為意志力。\n靠著是統治世人、甚至超越神……\n邁向勝利的堅決意志。$k$p你固有資質……但尚未成熟。\n故與我一同前行，讓我見證你的才能吧。\n如何？$Nu！
MID_VALHALT_VOICE01: 哼！
MID_VALHALT_VOICE02: 兒戲！
MID_VALHALT_VOICE03: 嗚啊～！
MID_VALHALT_VOICE04: 唔……！
MID_VALHALT_VOICE05: 見識我的霸道！
MID_VALHALT_VOICE06: 我將超越神的境界！
MID_VALHALT_VOICE07: 愚蠢透頂！
MID_VALHALT_VOICE08: 仔細品嚐吧！
MID_VALHALT_VOICE09: 見事なり…！
MID_VALHALT_VOICE10: ぬはははは！
MID_VALHALT_VOICE11: 我は覇王ヴァルハルト！　我が覇道を阻むこと、誰であろうと許さん！
MID_VALHALT_VOICE12: ぬ…！？　我に戦いを挑むか…その意気や良し！
MID_VALHALT_VOICE13: 我が力が欲しくば、我と戦え。我を従わせるは力のみ。
MID_VALHALT_VOICE14: 我が覇道は、力による支配。この世の誰にも敗れてはならぬ。
MID_VALHALT_VOICE15: 王道…人の心をもって国を治める、我が覇道とは対極の道よ。
MID_VALHALT_VOICE16: 我は戦わねばならぬ。もう一度、あの者と…
MID_VALHALT_VOICE17: 我を飲み込むほどの器で、己の理想を貫き通してみよ！
MID_VALHALT_VOICE18: 良かろう
MID_VALHALT_VOICE19: 道を示せ！
MID_VALHALT_VOICE20: 我は覇王！
