[Heroes Archive] (VERONICA)


Heroes Message Name: Message


MID_VERONICA_VOICE01: 嘿。
MID_VERONICA_VOICE02: 如何……？
MID_VERONICA_VOICE03: 嗚嗚！
MID_VERONICA_VOICE04: 好痛……
MID_VERONICA_VOICE05: 我不需要……
MID_VERONICA_VOICE06: 真是弱小呢……
MID_VERONICA_VOICE07: 就這點程度……？
MID_VERONICA_VOICE08: 我要把你關起來……
MID_VERONICA_VOICE09: 真是……無趣……
MID_VERONICA_VOICE10: 呵呵……
MID_VERONICA_VOICE18: 嗯。
MID_VERONICA_VOICE19: 怎麼啦？
MID_VERONICA_VOICE20: 你打算怎麼做？
MID_VERONICA_VOICE21: ファイアーエムブレム
MID_VERONICA_VOICE22: 暗黒竜と光の剣
MID_VERONICA_VOICE23: 外伝
MID_VERONICA_VOICE24: 紋章の謎
MID_VERONICA_VOICE25: 聖戦の系譜
MID_VERONICA_VOICE26: トラキア７７６
MID_VERONICA_VOICE27: 封印の剣
MID_VERONICA_VOICE28: 烈火の剣
MID_VERONICA_VOICE29: 聖魔の光石
MID_VERONICA_VOICE30: 蒼炎の軌跡
MID_VERONICA_VOICE31: 暁の女神
MID_VERONICA_VOICE32: 新・暗黒竜と光の剣
MID_VERONICA_VOICE33: 新・紋章の謎
MID_VERONICA_VOICE34: 覚醒
MID_VERONICA_VOICE35: ｉｆ
MID_VERONICA_VOICE36: 活動舉辦中……
MID_VERONICA_VOICE37: 大規模的戰鬥已經開始了。
MID_VERONICA_VOICE38: 強力的敵人現身了。
MID_VERONICA_VOICE39: 新的英雄現身了。
MID_VERONICA_VOICE40: 請稍等一下。
MID_VERONICA_VOICE_BRAVE: ブレイヴ
MID_VERONICA_VOICE_HEROES: ヒーローズ
