[Heroes Archive] (VERONICA_POPULARITY03)


Heroes Message Name: Message


MID_VERONICA_POPULARITY03_HOME1: ……哥哥，你在哪裡……？\n哥哥也在這個世界嗎……？
MID_VERONICA_POPULARITY03_HOME2: 這是哥哥送給我的書……\n即使我已讀了千萬遍……\n讀到記起全部內容了……但我仍會再讀……
MID_VERONICA_POPULARITY03_HOME3: 我不會放過那些妨礙你的人。\n我會把他們當成玩偶，\n扭掉他們的頭……殺了他們。
MID_VERONICA_POPULARITY03_HOME4: 只要騎上馬，\n就可以眺望更寬廣、更遠的世界。\n你也要騎看看嗎……？
MID_VERONICA_POPULARITY03_HOME5: 在這個世界的維洛妮卡……\n跟我像嗎？\n真想見見她呢。
MID_VERONICA_POPULARITY03_FRIEND: $Nf\n已對我宣誓忠誠，\n你也一起效忠恩布拉吧。
MID_VERONICA_POPULARITY03_LEVEL1: 我如果變強……\n你會開心嗎？
MID_VERONICA_POPULARITY03_LEVEL2: 我只是照哥哥教我的去做而已……
MID_VERONICA_POPULARITY03_LEVEL3: 那是什麼眼神？\n真令人不愉快……
MID_VERONICA_POPULARITY03_SKILL: 不錯的判斷……\n我的力量，就是你的力量……
MID_VERONICA_POPULARITY03_JOIN: 我是維洛妮卡……\n呼喚我的人就是你吧。\n好，我就把力量借給你吧。
MID_VERONICA_POPULARITY03_STRONGEST: 是說，$Nu，\n你到底……是誰？$k$p你是傳說中的召喚師……\n但跟我想像中的那種人不一樣……$k$p沒有我想像中來的傑出……\n比我想像中……還更溫柔……$k$p我在原本的世界，\n其實一直都想殺了你……$k$p吶，等我找到哥哥之後……\n有機會的話，\n讓我看看原本你在的世界吧。$k$p我想知道更多關於你的事……
MID_VERONICA_POPULARITY03_VOICE01: 看招！
MID_VERONICA_POPULARITY03_VOICE02: 讓開……
MID_VERONICA_POPULARITY03_VOICE03: 呀啊～！
MID_VERONICA_POPULARITY03_VOICE04: 好過分……
MID_VERONICA_POPULARITY03_VOICE05: 好想把你變成我的……
MID_VERONICA_POPULARITY03_VOICE06: 真厲害……
MID_VERONICA_POPULARITY03_VOICE07: 就像哥哥一樣……
MID_VERONICA_POPULARITY03_VOICE08: 還給你吧……
MID_VERONICA_POPULARITY03_VOICE09: おにい…さま…
MID_VERONICA_POPULARITY03_VOICE10: ふぅん…
MID_VERONICA_POPULARITY03_VOICE11: 我來幫你……
MID_VERONICA_POPULARITY03_VOICE12: 真是好孩子呢……
MID_VERONICA_POPULARITY03_VOICE13: あたしはヴェロニカ…でも、あなたたちの知ってるヴェロニカとは、違うわ。
MID_VERONICA_POPULARITY03_VOICE14: ひゃっ…　なに？　こどもあつかいしないで。
MID_VERONICA_POPULARITY03_VOICE15: 馬の乗り方は…お兄様やマークスに教えてもらったの。
MID_VERONICA_POPULARITY03_VOICE16: お兄様…私のこと…嫌いになったの…？
MID_VERONICA_POPULARITY03_VOICE17: ここにいると…寂しくないわ…。あなたがいるから…
MID_VERONICA_POPULARITY03_VOICE18: そうね
MID_VERONICA_POPULARITY03_VOICE19: あたしを呼んだの…？
MID_VERONICA_POPULARITY03_VOICE20: 戦ってあげる
