[Heroes Archive] (WALTER)


Heroes Message Name: Message


MID_WALTER_HOME1: 我渴望戰鬥。\n所以如果你讓這世界\n變和平的話，我會很傷腦筋的。
MID_WALTER_HOME2: 艾莉可……還有艾夫拉姆……\n他們兩個都是我的獵物……\n絕佳的獵物。
MID_WALTER_HOME3: 哦，你累啦？\n那就休息一下吧。\n衰弱的獵物味道會變差喔！
MID_WALTER_HOME4: 我不需要沒有嚼勁的廢物。\n我想吃的是……\n鮮血淋漓的絕佳獵物……\n
MID_WALTER_HOME5: 訓練？我不喜歡扮家家酒。\n互相殘殺的訓練，\n應該從做中學才對喔！
MID_WALTER_FRIEND: 哦。你就是$Nu……\n$Nf的朋友嗎？\n看起來還蠻可口的嘛！
MID_WALTER_LEVEL1: 絕佳的獵物……\n呵呵！真是可口！\n
MID_WALTER_LEVEL2: 很好。\n再多讓我吃一點。
MID_WALTER_LEVEL3: 這種東西\n不夠我吃……
MID_WALTER_SKILL: 真是不錯的獵物。\n再多給我一點。
MID_WALTER_JOIN: 我是格拉多帝國六將之一，\n【月光石】瓦爾達。\n你也想被我吃掉嗎？
MID_WALTER_STRONGEST: 以前曾經有位老人\n說我是野獸，\n是頭慾望橫流的野獸。$k$p總有一天，我要殺了他，不過……\n我的確是長著獠牙的野獸。\n我屠殺男人，搶奪女人……$k$p但是，你使喚這樣的我，\n還賜予我這麼強的力量……\n我無法理解！$k$p你是打算讓我臣服嗎？\n還是說，屈服於我、\n被我支配才是你想要的？$k$p無論如何……你都是絕佳的獵物。\n我可不容許你被我以外的傢伙搶走喔！\n
MID_WALTER_VOICE01: 很好。
MID_WALTER_VOICE02: 享受吧。
MID_WALTER_VOICE03: 嗚啊～！
MID_WALTER_VOICE04: 你這廢物……！
MID_WALTER_VOICE05: 真是愉快的遊戲。
MID_WALTER_VOICE06: 我要吞噬你。
MID_WALTER_VOICE07: 拚命逃吧！
MID_WALTER_VOICE08: 絕佳的獵物。
MID_WALTER_VOICE09: 嗚……嗚啊～～！
MID_WALTER_VOICE10: 呵呵！
MID_WALTER_VOICE11: 我名叫【月光石】瓦爾達。是格拉多帝國六將之一。
MID_WALTER_VOICE12: 嗯？你想要的是我的身體？
MID_WALTER_VOICE13: 我並不是屬於你的物品。你可別讓我不爽喔！
MID_WALTER_VOICE14: 我總有一天會讓你屈服，並且支配你。
MID_WALTER_VOICE15: 你要像羔羊一樣慘叫給我聽喔！
MID_WALTER_VOICE16: 艾莉可……艾夫拉姆……看起來真是可口啊。
MID_WALTER_VOICE17: 你是屬於我的。再多取悅我一點！
MID_WALTER_VOICE18: 取悅我吧！
MID_WALTER_VOICE19: 我要吞噬你。
MID_WALTER_VOICE20: 看起來很可口吧？
