[Heroes Archive] (WAYU)


Heroes Message Name: Message


MID_WAYU_HOME1: 什麼什麼？\n想跟我用劍比劃一下？\n嘩～來吧來吧！
MID_WAYU_HOME2: 我被抓到的時候，\n是格萊爾先生救了我，\n後來我就加入格萊爾傭兵團了。
MID_WAYU_HOME3: 精神不好的時候比劃一下最好了！\n只要活動筋骨流點汗，\n不知不覺整個人又活過來了！
MID_WAYU_HOME4: 欸欸欸，我來替你占卜吧。\n咦？意想不到的興趣……？\n真是的！我不幫你占卜了喔！
MID_WAYU_HOME5: 騎著白馬而來，\n我宿命中的勁敵……\n怎麼不快點來呢～？
MID_WAYU_FRIEND: 啊！找到了！\n你就是$Nu吧。\n$Nf要我跟你問好！
MID_WAYU_LEVEL1: 不知道為什麼，我狀況很好喔！\n就這樣繼續下去吧！
MID_WAYU_LEVEL2: 好像不怎麼樣耶，\n劍術之道並不輕鬆。
MID_WAYU_LEVEL3: 嗯……我的修行還不夠呢……\n我要反省。
MID_WAYU_SKILL: 我的實力獲得認同了，\n沒錯吧！太好了！
MID_WAYU_JOIN: 我是格萊爾傭兵團的劍客，\n叫做瓦育。我會讓你見識\n我的劍術實力！
MID_WAYU_STRONGEST: 啊，主將！\n遇到我算你倒楣！\n今天一定要跟我比劃一下喔。$k$p咦～？來比嘛～！\n揮劍的方法就讓我來教你吧。\n你也要教我怎麼擬定戰術之類的喔。$k$p自從我們敗在主將的指揮下以後，\n我就很敬佩主將喔。$k$p我雖然想變強，\n但也希望能有一位宿命的勁敵\n跟我互相切磋精進喔。$k$p彼此都為了打倒對方而修行，\n在對決之後產生熾熱的羈絆！\n你不覺得這樣很棒嗎？$k$p嗯、嗯，你一定懂吧。\n那麼，來試看看吧～！\n別擔心，一開始我會盡量手下留情的！
MID_WAYU_VOICE01: 嘿！
MID_WAYU_VOICE02: 好！
MID_WAYU_VOICE03: 呀啊～！
MID_WAYU_VOICE04: 還、還沒完呢！
MID_WAYU_VOICE05: 狀況絕佳！
MID_WAYU_VOICE06: 決一勝負！
MID_WAYU_VOICE07: 我要上啦！
MID_WAYU_VOICE08: 宿命的對決！
MID_WAYU_VOICE09: 我輸了……？怎麼會……
MID_WAYU_VOICE10: 啊哈哈！
MID_WAYU_VOICE11: 欸欸欸，主將。我覺得你不是個普通的人物耶。
MID_WAYU_VOICE12: 呀啊～！嚇我一跳，竟能繞到我背後，挺厲害的嘛！
MID_WAYU_VOICE13: 主將！要不要跟我比劃一次？
MID_WAYU_VOICE14: 小事情別在意！繼續努力吧！
MID_WAYU_VOICE15: 我宿命的勁敵……難道就是主將你嗎？
MID_WAYU_VOICE16: 今天輸了就再修行，明天贏回來。明天輸了就後天……
MID_WAYU_VOICE17: 我很欣賞主將你喔。今後也請你多多指教囉！
MID_WAYU_VOICE18: 嗯！
MID_WAYU_VOICE19: 我有點手癢耶！
MID_WAYU_VOICE20: 走吧～！
