[Heroes Archive] (YURG_MIKATA01)


Heroes Message Name: Message


MID_YURG_MIKATA01_HOME1: 這座城堡好厲害喔～！\n有好多形形色色的人，\n總是那麼熱鬧、那麼歡樂的樣子！
MID_YURG_MIKATA01_HOME2: 佛利茲哥哥大人、斯利茲姐姐大人\n還有菲約爾姆姐姐大人都很溫柔，\n我最喜歡大家了！
MID_YURG_MIKATA01_HOME3: 我被穆斯貝爾抓住的時候呀，\n有和穆斯貝爾的人說過話，\n雖然對方的表情很恐怖，可是……
MID_YURG_MIKATA01_HOME4: 佛利茲哥哥大人他啊～\n非常厲害、非常聰明又非常帥氣唷。\n只要有哥哥大人在，尼福爾就不會有問題！
MID_YURG_MIKATA01_HOME5: 尼福爾戰敗的時候……\n我什麼忙都沒有幫上……\n對不起……
MID_YURG_MIKATA01_FRIEND: 嘿嘿，你好～\n我是優爾格，我來找你玩了！\n這座城堡感覺也很有趣呢！
MID_YURG_MIKATA01_LEVEL1: 竟然成長了這麼多……\n我該怎麼辦才好！？
MID_YURG_MIKATA01_LEVEL2: 我也是尼福爾王族的一員嘛！
MID_YURG_MIKATA01_LEVEL3: 咦咦？\n好奇怪喔……
MID_YURG_MIKATA01_SKILL: 嘿嘿，謝謝你！\n感覺好興奮、好期待唷！
MID_YURG_MIKATA01_JOIN: 我是優爾格。\n這裡是哪裡？這就是召喚嗎？\n我是英雄？哇～好棒！
MID_YURG_MIKATA01_STRONGEST: 嘿嘿，好開心～喔～\n謝謝你，\n$Nu殿下。$k$p託你的福，\n每天都有各種冒險等著我，\n我真的很快樂～$k$p可是，\n你為什麼要對我這麼溫柔呢？\n難道是因為……你喜歡我嗎？$k$p哇──！好害羞！\n雖然很開心可是好害羞喔！\n我該怎麼辦才好呢～！$k$p但是但是，\n你的心意真的讓我很開心……！\n以後我們也要互相喜歡著對方喔！
MID_YURG_MIKATA01_VOICE01: 嘿！
MID_YURG_MIKATA01_VOICE02: 對不起！
MID_YURG_MIKATA01_VOICE03: 呀啊～！
MID_YURG_MIKATA01_VOICE04: 痛……
MID_YURG_MIKATA01_VOICE05: 對不起！
MID_YURG_MIKATA01_VOICE06: 感覺很有趣！
MID_YURG_MIKATA01_VOICE07: 嘿嘿，嘿嘿！
MID_YURG_MIKATA01_VOICE08: 我好無聊～！
MID_YURG_MIKATA01_VOICE09: あーあ…ざんねん…
MID_YURG_MIKATA01_VOICE10: えへへ
MID_YURG_MIKATA01_VOICE11: わたし、ユルグ。なにかおもしろいことない？
MID_YURG_MIKATA01_VOICE12: ひゃん！？　びっくりしちゃった～
MID_YURG_MIKATA01_VOICE13: わたしのくに、ずーっとゆきばっかり…たいくつしちゃった
MID_YURG_MIKATA01_VOICE14: ねえねえ、いっしょにあそんでくれる？
MID_YURG_MIKATA01_VOICE15: わたし、ぼうけんしたかったんだ。えほんみたいに。
MID_YURG_MIKATA01_VOICE16: ごめんね…みんな…
MID_YURG_MIKATA01_VOICE17: たのしーなー。あなたと一緒にいると、たいくつしないもん。
MID_YURG_MIKATA01_VOICE18: うん
MID_YURG_MIKATA01_VOICE19: どうしよっかなー
MID_YURG_MIKATA01_VOICE20: はいはーい
