[Heroes Archive] (YURIA)


Heroes Message Name: Message


MID_YURIA_HOME1: 聖書那迦……\n好像有種很令人懷念，\n很不可思議的心情……
MID_YURIA_HOME2: 我的父親和母親，\n都是很溫柔的人。\n還有，尤利烏斯哥哥也是……
MID_YURIA_HOME3: 一直以來承蒙你的關照。\n那個，有什麼事情\n是我可以幫忙的嗎？
MID_YURIA_HOME4: 賽列斯大人……不、我哥哥，\n他是可以把世界導向和平的人。\n然後，你也是……
MID_YURIA_HOME5: 溫柔的尤利烏斯哥哥……\n變成了惡魔。\n我的父親和母親，都被那惡魔……
MID_YURIA_FRIEND: 呼……　不好意思，\n我回過神來時，人就在這裡了……\n請問這裡是哪裡？
MID_YURIA_LEVEL1: 不管面對什麼敵人，\n我都會戰鬥。
MID_YURIA_LEVEL2: 我想變得更強，\n然後幫助你。
MID_YURIA_LEVEL3: 就算會很艱辛，\n我也不會逃避……
MID_YURIA_SKILL: 我覺得我開始明白……\n自己被生下來的原因了。
MID_YURIA_JOIN: 我叫尤莉亞……\n是繼承了神聖的龍之書那迦的人……
MID_YURIA_STRONGEST: ……尤利烏斯哥哥和我，\n繼承了一個特殊的血脈。\n我繼承了聖書那迦也是……$k$p尤利烏斯哥哥因為黑色的聖書\n而變成了恐怖的惡魔也是……\n一切都是因為這個血脈……$k$p一想到如果在我無法控制的狀況下，\n變成了你的敵人的話……\n我就很害怕……$k$p但是，如果是你，到目前為止\n陪伴我這麼長一段時間的你……\n如果是你呼喚我的話……$k$p我就可以，維持自我……\n我是這樣想的……\n所以，從今以後也請待在我身邊……
MID_YURIA_VOICE01: 喝……！
MID_YURIA_VOICE02: 嘿……
MID_YURIA_VOICE03: 呀啊～！
MID_YURIA_VOICE04: 啊……
MID_YURIA_VOICE05: 不要！
MID_YURIA_VOICE06: 願神保佑……
MID_YURIA_VOICE07: 我想起來了。
MID_YURIA_VOICE08: 我要戰鬥……
MID_YURIA_VOICE09: 啊啊……
MID_YURIA_VOICE10: 呵呵……
MID_YURIA_VOICE11: 有沒有受傷？
MID_YURIA_VOICE12: 願神賜予你保佑……
MID_YURIA_VOICE13: 呀……　啊。原來是你啊……
MID_YURIA_VOICE14: 這裡籠罩在溫暖的光芒之中……
MID_YURIA_VOICE15: ……　啊！……我……到底該怎麼做……？
MID_YURIA_VOICE16: 母親……一直都在守護著我……
MID_YURIA_VOICE17: 我也想要幫你的忙……
MID_YURIA_VOICE18: 是……
MID_YURIA_VOICE19: 要怎麼做……？
MID_YURIA_VOICE20: 我願與你同行。
