[Heroes Archive] (ZEFHYR)


Heroes Message Name: Message


MID_ZEFHYR_HOME1: 只要由人類統治人類，\n階級地位有高下之分……\n人類的不幸就不會結束。
MID_ZEFHYR_HOME2: 把陸地轉交給龍，\n讓世界變得公平而安寧……\n這就是我的願望。
MID_ZEFHYR_HOME3: 光說不練也沒用……\n反正你們跟我是水火不容的。
MID_ZEFHYR_HOME4: 你所在的世界也還是……人類的世界嗎？\n那樣的話，醜陋的爭鬥\n大概也從未停歇過吧。
MID_ZEFHYR_HOME5: ……你問我在做什麼？\n我什麼都沒做。\n讓時光平靜地流動，這才是我的願望……
MID_ZEFHYR_FRIEND: 跪拜在我面前吧。\n我受$Nf之命，\n前來向你致意。
MID_ZEFHYR_LEVEL1: 我的夢想還沒結束！
MID_ZEFHYR_LEVEL2: 我個人的力量如何\n根本無所謂。
MID_ZEFHYR_LEVEL3: 說到底，我也……\n只不過是個人類……
MID_ZEFHYR_SKILL: 這把艾坎札克斯\n渴望更多的戰鬥……
MID_ZEFHYR_JOIN: 我是伯爾尼國王賽菲爾。\n你也是會鬼扯說人類\n還有希望的人嗎？
MID_ZEFHYR_STRONGEST: 我本來認為人類已經沒有價值了，\n然而……$k$p和你們一起行動之後，\n這個想法開始\n出現了一點變化……$k$p你的生存方式……\n我就再觀察一陣子吧。\n不過……$k$p你可要小心，\n別被我這雙連父王都敢殺的手，\n在睡夢中取下你的首級……
MID_ZEFHYR_VOICE01: 哼！
MID_ZEFHYR_VOICE02: 唔！
MID_ZEFHYR_VOICE03: 唔喔～！
MID_ZEFHYR_VOICE04: 怎麼可能……
MID_ZEFHYR_VOICE05: 哼。
MID_ZEFHYR_VOICE06: 休想妨礙我。
MID_ZEFHYR_VOICE07: 我來當你的對手。
MID_ZEFHYR_VOICE08: 當作餘興節目吧。
MID_ZEFHYR_VOICE09: 我……輸了嗎……
MID_ZEFHYR_VOICE10: 哼。
MID_ZEFHYR_VOICE11: 找我有什麼事嗎？
MID_ZEFHYR_VOICE12: ……我可不會容忍你的無禮。
MID_ZEFHYR_VOICE13: 你就像個小孩子呢。
MID_ZEFHYR_VOICE14: 人類很醜陋。
MID_ZEFHYR_VOICE15: 一切都了然無趣。
MID_ZEFHYR_VOICE16: 我一定要「解放」世界……
MID_ZEFHYR_VOICE17: 跟你在一起……讓我想起了小時候。
MID_ZEFHYR_VOICE18: 嗯。
MID_ZEFHYR_VOICE19: 接下來……
MID_ZEFHYR_VOICE20: 要走了嗎……
