[Heroes Archive] (Data_00_first)


Heroes Message Name: Message


MID_MISSION_M0001_TITLE: ２月ミッション
MID_MISSION_M0001_A1: 赤属性で撃破
MID_MISSION_H_M0001_A1: 赤属性の味方で、敵を撃破。
MID_MISSION_M0001_A2: 歩行で撃破
MID_MISSION_H_M0001_A2: 歩行の味方で、敵を撃破。
MID_MISSION_M0001_A3: 青属性を撃破
MID_MISSION_H_M0001_A3: 青属性の敵を撃破。
MID_MISSION_M0001_A4: 飛行を撃破
MID_MISSION_H_M0001_A4: 飛行の敵を撃破。
MID_MISSION_M0001_A5: ＬＶ１０以上を撃破
MID_MISSION_H_M0001_A5: レベル１０以上の敵を撃破。
MID_MISSION_M0001_A6: 弓で１章－５節突破
MID_MISSION_H_M0001_A6: 弓の仲間を自軍に入れて、\n１章－５節をクリア。
MID_MISSION_M0001_A7: 修練の塔・第２階層突破
MID_MISSION_H_M0001_A7: 修練の塔・第２階層をクリア。
MID_MISSION_M0001_A8: 闘技場で勝利
MID_MISSION_H_M0001_A8: 闘技場で勝利。
MID_MISSION_M0001_B1: 緑属性で、ＬＶ２０以上を撃破
MID_MISSION_H_M0001_B1: 緑属性の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M0001_B2: 飛行で、LV２０以上を撃破
MID_MISSION_H_M0001_B2: 飛行の味方で、\nレベル２０以上の敵を撃破。
MID_MISSION_M0001_B3: ＬＶ２０以上の赤属性を撃破
MID_MISSION_H_M0001_B3: レベル２０以上の赤属性の敵を撃破。
MID_MISSION_M0001_B4: ＬＶ２０以上の歩行を撃破
MID_MISSION_H_M0001_B4: レベル２０以上の歩行の敵を撃破。
MID_MISSION_M0001_B5: 特殊：２章－１節ハード突破
MID_MISSION_H_M0001_B5: ２章１節ハード以上を\n３人以下でクリア。
MID_MISSION_M0001_B6: 特殊：２章－５節ハード突破
MID_MISSION_H_M0001_B6: ２章５節ハード以上を\nアルフォンスを自軍に入れてクリア。
MID_MISSION_M0001_B7: 修練の塔・第５階層突破
MID_MISSION_H_M0001_B7: 修練の塔・第５階層をクリア。
MID_MISSION_M0001_B8: 闘技場・中級以上で勝利
MID_MISSION_H_M0001_B8: 闘技場・中級以上で勝利。
MID_MISSION_M0001_C1: 青属性で、LV３５以上を撃破
