[Heroes Archive] (Data_41_muspell01)


Heroes Message Name: Message


MID_MISSION_M201712A_TITLE: １２月任務Ａ
MID_MISSION_M201712A_A1: 以青屬性擊敗敵人
MID_MISSION_H_M201712A_A1: 以青屬性的我方擊敗敵人。
MID_MISSION_M201712A_A2: 以步行擊敗敵人
MID_MISSION_H_M201712A_A2: 以步行的我方擊敗敵人。
MID_MISSION_M201712A_A3: 擊敗綠屬性的敵人
MID_MISSION_H_M201712A_A3: 擊敗綠屬性的敵人。
MID_MISSION_M201712A_A4: 擊敗飛行的敵人
MID_MISSION_H_M201712A_A4: 擊敗飛行的敵人。
MID_MISSION_M201712A_A5: 在鬥技場獲勝
MID_MISSION_H_M201712A_A5: 在鬥技場獲勝。
MID_MISSION_M201712A_A6: 以赤屬性擊敗LV20以上
MID_MISSION_H_M201712A_A6: 以赤屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201712A_A7: 以飛行擊敗LV20以上
MID_MISSION_H_M201712A_A7: 以飛行的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201712A_A8: 擊敗LV20以上的青屬性
MID_MISSION_H_M201712A_A8: 擊敗等級20以上青屬性的敵人。
MID_MISSION_M201712A_A9: 擊敗LV20以上的步行
MID_MISSION_H_M201712A_A9: 擊敗等級20以上步行的敵人。
MID_MISSION_M201712A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201712A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201712A_A11: 以綠屬性擊敗LV35以上
MID_MISSION_H_M201712A_A11: 以綠屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201712A_A12: 以騎馬擊敗LV35以上
MID_MISSION_H_M201712A_A12: 以騎馬的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201712A_A13: 擊敗LV35以上的赤屬性
MID_MISSION_H_M201712A_A13: 擊敗等級35以上赤屬性的敵人。
MID_MISSION_M201712A_A14: 擊敗LV35以上的騎馬
MID_MISSION_H_M201712A_A14: 擊敗等級35以上騎馬的敵人。
MID_MISSION_M201712A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201712A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_S201712ARENA01_TITLE: 鬥技場
MID_MISSION_S201712ARENA01_A1: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A1: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A2: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A2: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A3: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A3: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A4: 在縛鎖鬥技場達成3連勝
MID_MISSION_H_S201712ARENA01_A4: 在縛鎖鬥技場達成3連勝。
MID_MISSION_S201712ARENA01_A5: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A5: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A6: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A6: 在鬥技場獲勝。
MID_MISSION_S201712ARENA01_A7: 在鬥技場獲勝
MID_MISSION_H_S201712ARENA01_A7: 在鬥技場獲勝。
