[Heroes Archive] (Data_47_kakusei01)


Heroes Message Name: Message


MWID_H_無竜: 無龍　射程１\n敵方魔防越高，給予的傷害越少
MID_MISSION_S201803ARM01_TITLE: 武器類型
MID_MISSION_S201803ARM01_A1: 以劍擊敗敵人
MID_MISSION_H_S201803ARM01_A1: 以劍的我方擊敗敵人。
MID_MISSION_S201803ARM01_A2: 以槍擊敗敵人
MID_MISSION_H_S201803ARM01_A2: 以槍的我方擊敗敵人。
MID_MISSION_S201803ARM01_A3: 以斧擊敗敵人
MID_MISSION_H_S201803ARM01_A3: 以斧的我方擊敗敵人。
MID_MISSION_S201803ARM01_A4: 以弓擊敗敵人
MID_MISSION_H_S201803ARM01_A4: 以弓的我方擊敗敵人。
MID_MISSION_S201803ARM01_A5: 以暗器擊敗敵人
MID_MISSION_H_S201803ARM01_A5: 以暗器的我方擊敗敵人。
MID_MISSION_S201803ARM01_A6: 以赤魔擊敗敵人
MID_MISSION_H_S201803ARM01_A6: 以赤魔的我方擊敗敵人。
MID_MISSION_S201803ARM01_A7: 以青魔擊敗敵人
MID_MISSION_H_S201803ARM01_A7: 以青魔的我方擊敗敵人。
MID_MISSION_S201803ARM01_A8: 以綠魔擊敗敵人
MID_MISSION_H_S201803ARM01_A8: 以綠魔的我方擊敗敵人。
MID_MISSION_S201803ARM01_A9: 以杖擊敗敵人
MID_MISSION_H_S201803ARM01_A9: 以杖的我方擊敗敵人。
MID_MISSION_S201803ARM01_A10: 以劍擊敗LV35以上
MID_MISSION_H_S201803ARM01_A10: 以劍的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A11: 以槍擊敗LV35以上
MID_MISSION_H_S201803ARM01_A11: 以槍的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A12: 以斧擊敗LV35以上
MID_MISSION_H_S201803ARM01_A12: 以斧的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A13: 以弓擊敗LV35以上
MID_MISSION_H_S201803ARM01_A13: 以弓的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A14: 以暗器擊敗LV35以上
MID_MISSION_H_S201803ARM01_A14: 以暗器的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A15: 以赤魔擊敗LV35以上
MID_MISSION_H_S201803ARM01_A15: 以赤魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A16: 以青魔擊敗LV35以上
MID_MISSION_H_S201803ARM01_A16: 以青魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A17: 以綠魔擊敗LV35以上
MID_MISSION_H_S201803ARM01_A17: 以綠魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803ARM01_A18: 以杖擊敗LV35以上
MID_MISSION_H_S201803ARM01_A18: 以杖的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201803HERO01_TITLE: 大英雄戰
MID_MISSION_S201803HERO01_A1: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201803HERO01_A1: 將阿爾馮斯編入我軍，\n過關大英雄戰・解放之王賽菲爾。
MID_MISSION_S201803HERO01_A2: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201803HERO01_A2: 將解放之王賽菲爾編入我軍，\n過關大英雄戰・解放之王賽菲爾(超難以上)。
MID_MISSION_S201803HERO01_A3: 特殊:擊敗解放之王賽菲爾
MID_MISSION_H_S201803HERO01_A3: 以阿爾馮斯\n擊敗等級40以上的解放之王賽菲爾。
MID_MISSION_S201803HERO01_A4: 特殊:擊敗解放之王賽菲爾
MID_MISSION_H_S201803HERO01_A4: 以解放之王賽菲爾\n擊敗等級40以上的解放之王賽菲爾。
MID_MISSION_S201803HERO01_A5: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201803HERO01_A5: 我軍全員為重裝，\n過關大英雄戰・解放之王賽菲爾(超難以上)。
MID_MISSION_S201803SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201803SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201803SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201803SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201803SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201803SENKA01_DAILY_A3: 特殊:突破戰渦連戰
