[Heroes Archive] (Data_48_spring02)


Heroes Message Name: Message


MID_MISSION_S201803BLESS01_TITLE: 地之祝福
MID_MISSION_S201803BLESS01_A1: 以地之祝福的我方擊敗
MID_MISSION_H_S201803BLESS01_A1: 以被賦予地之祝福的英雄擊敗敵人。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A2: 特殊:以地之祝福的我方擊敗
MID_MISSION_H_S201803BLESS01_A2: 以被賦予地之祝福的英雄，\n擊敗等級20以上的敵人。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A3: 特殊:以地之祝福的我方擊敗
MID_MISSION_H_S201803BLESS01_A3: 以被賦予地之祝福的英雄，\n擊敗等級35以上的赤屬性敵人。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A4: 特殊:以地之祝福的我方擊敗
MID_MISSION_H_S201803BLESS01_A4: 以被賦予地之祝福的英雄，\n擊敗等級35以上的青屬性敵人。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A5: 特殊:以地之祝福的我方擊敗
MID_MISSION_H_S201803BLESS01_A5: 以被賦予地之祝福的英雄，\n擊敗等級35以上的綠屬性敵人。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A6: 特殊:突破修練之塔・第1層
MID_MISSION_H_S201803BLESS01_A6: 我軍內有被賦予地之祝福的英雄，\n過關修練之塔・第1層。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A7: 特殊:突破修練之塔・第5層
MID_MISSION_H_S201803BLESS01_A7: 我軍內有被賦予地之祝福的英雄，\n過關修練之塔・第5層。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803BLESS01_A8: 特殊:突破修練之塔・第10層
MID_MISSION_H_S201803BLESS01_A8: 我軍內有被賦予地之祝福的英雄，\n過關修練之塔・第10層。\n(地的傳承英雄與被賦予地之祝福的英雄不同)
MID_MISSION_S201803KIZUNA01_TITLE: 羈絆英雄戰
MID_MISSION_S201803KIZUNA01_A1: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201803KIZUNA01_A1: 將安娜編入我軍，\n過關羈絆英雄戰・尼尼安＆霍克艾。
MID_MISSION_S201803KIZUNA01_A2: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201803KIZUNA01_A2: 將亞斯克王國的王子阿爾馮斯編入我軍，\n過關羈絆英雄戰・尼尼安＆霍克艾(超難以上)。
MID_MISSION_S201803KIZUNA01_A3: 特殊:擊敗尼尼安
MID_MISSION_H_S201803KIZUNA01_A3: 以安娜\n擊敗等級40以上的尼尼安。
MID_MISSION_S201803KIZUNA01_A4: 特殊:擊敗霍克艾
MID_MISSION_H_S201803KIZUNA01_A4: 以亞斯克王國的王子阿爾馮斯，\n擊敗等級40以上的霍克艾。
MID_MISSION_S201803KIZUNA01_A5: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201803KIZUNA01_A5: 我軍全員為騎馬，\n過關羈絆英雄戰・尼尼安＆霍克艾(超難以上)。
MID_MISSION_S201803SENKA02_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201803SENKA02_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201803SENKA02_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201803SENKA02_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201803SENKA02_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201803SENKA02_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201803SENKA02_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201803SENKA02_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201803SENKA02_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201803STORY02_TITLE: 兔子們的春祭
MID_MISSION_S201803STORY02_A1: 特殊:突破外傳19-1節(超難)
MID_MISSION_H_S201803STORY02_A1: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關外傳19-1節(超難)。
MID_MISSION_S201803STORY02_A2: 特殊:突破外傳19-2節(超難)
MID_MISSION_H_S201803STORY02_A2: 我軍內有成員武器為槍，\n且在4人皆生存的狀態下\n過關外傳19—2節(超難)。
MID_MISSION_S201803STORY02_A3: 特殊:突破外傳19-3節(超難)
MID_MISSION_H_S201803STORY02_A3: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關外傳19-3節(超難)。
MID_MISSION_S201803TAPBTL01_D01_TITLE: 點觸大戰・每日任務
MID_MISSION_S201803TAPBTL01_D01_A1: 擊敗BOSS
MID_MISSION_H_S201803TAPBTL01_D01_A1: 於點觸大戰中擊敗BOSS。
MID_MISSION_S201803TAPBTL01_D01_A2: 過關關卡
MID_MISSION_H_S201803TAPBTL01_D01_A2: 過關點觸大戰中的關卡。
MID_MISSION_S201803TAPBTL01_D02_TITLE: 點觸大戰・每日任務
MID_MISSION_S201803TAPBTL01_D02_A1: 擊敗BOSS
MID_MISSION_H_S201803TAPBTL01_D02_A1: 於點觸大戰中擊敗BOSS。
MID_MISSION_S201803TAPBTL01_D02_A2: 過關關卡
MID_MISSION_H_S201803TAPBTL01_D02_A2: 過關點觸大戰中的關卡。
MID_MISSION_S201803TAPBTL01_D03_TITLE: 點觸大戰・每日任務
MID_MISSION_S201803TAPBTL01_D03_A1: 擊敗BOSS
MID_MISSION_H_S201803TAPBTL01_D03_A1: 於點觸大戰中擊敗BOSS。
MID_MISSION_S201803TAPBTL01_D03_A2: 過關關卡
MID_MISSION_H_S201803TAPBTL01_D03_A2: 過關點觸大戰中的關卡。
MID_MISSION_S201803TAPBTL01_D04_TITLE: 點觸大戰・每日任務
MID_MISSION_S201803TAPBTL01_D04_A1: 擊敗BOSS
MID_MISSION_H_S201803TAPBTL01_D04_A1: 於點觸大戰中擊敗BOSS。
MID_MISSION_S201803TAPBTL01_D04_A2: 過關關卡
MID_MISSION_H_S201803TAPBTL01_D04_A2: 過關點觸大戰中的關卡。
MID_MISSION_S201803TAPBTL02_TITLE: 點觸大戰
MID_MISSION_S201803TAPBTL02_A1: 擊敗BOSS
MID_MISSION_H_S201803TAPBTL02_A1: 於點觸大戰中擊敗BOSS。
MID_MISSION_S201803TAPBTL02_A2: 擊敗BOSS
MID_MISSION_H_S201803TAPBTL02_A2: 於點觸大戰中擊敗BOSS。
MID_MISSION_S201803TAPBTL02_A3: 過關關卡
MID_MISSION_H_S201803TAPBTL02_A3: 過關點觸大戰中的關卡。
MPID_春祭アルフォンス: 阿爾馮斯
MPID_春祭カゲロウ: 陽炎
MPID_春祭カチュア: 卡秋雅
MPID_春祭シャロン: 夏蓉
MPID_HONOR_春祭アルフォンス: 春色的亞斯克王子
MPID_HONOR_春祭カゲロウ: 春色的女忍者
MPID_HONOR_春祭カチュア: 春色的白騎士
MPID_HONOR_春祭シャロン: 春色的亞斯克公主
MPID_H_春祭アルフォンス: 亞斯克王國的王子，處事嚴謹且待人溫和。\n現為特務機關的一員，參加本次春祭。
