[Heroes Archive] (Data_49_thrace01)


Heroes Message Name: Message


MWID_H_赤弓: 赤弓　射程２\n敵方防守越高，給予的傷害越少\n可給予飛行系敵人大量傷害
MWID_H_青弓: 青弓　射程２\n敵方防守越高，給予的傷害越少\n可給予飛行系敵人大量傷害
MWID_H_緑弓: 綠弓　射程２\n敵方防守越高，給予的傷害越少\n可給予飛行系敵人大量傷害
MID_ERROR_APP_EXTRA_BONUS_EXPIRATION: 無法購買。\n此商品已販售結束。
MID_MISSION_S201804DAISEIATU01_TITLE: 大壓制戰
MID_MISSION_S201804DAISEIATU01_A1: 於大壓制戰中獲得得分
MID_MISSION_H_S201804DAISEIATU01_A1: 於大壓制戰中獲得得分。
MID_MISSION_S201804DAISEIATU01_A2: 於大壓制戰中獲得得分
MID_MISSION_H_S201804DAISEIATU01_A2: 於大壓制戰中獲得得分。
MID_MISSION_S201804DAISEIATU01_A3: 於大壓制戰中獲得得分
MID_MISSION_H_S201804DAISEIATU01_A3: 於大壓制戰中獲得得分。
MID_MISSION_S201804MOVE01_TITLE: 移動方式
MID_MISSION_S201804MOVE01_A1: 以步行擊敗赤屬性
MID_MISSION_H_S201804MOVE01_A1: 以步行的我方\n擊敗赤屬性的敵人。
MID_MISSION_S201804MOVE01_A2: 以步行擊敗青屬性
MID_MISSION_H_S201804MOVE01_A2: 以步行的我方\n擊敗青屬性的敵人。
MID_MISSION_S201804MOVE01_A3: 以步行擊敗綠屬性
MID_MISSION_H_S201804MOVE01_A3: 以步行的我方\n擊敗綠屬性的敵人。
MID_MISSION_S201804MOVE01_A4: 以步行擊敗無屬性
MID_MISSION_H_S201804MOVE01_A4: 以步行的我方\n擊敗無屬性的敵人。
MID_MISSION_S201804MOVE01_A5: 以重裝擊敗赤屬性
MID_MISSION_H_S201804MOVE01_A5: 以重裝的我方\n擊敗赤屬性的敵人。
MID_MISSION_S201804MOVE01_A6: 以重裝擊敗青屬性
MID_MISSION_H_S201804MOVE01_A6: 以重裝的我方\n擊敗青屬性的敵人。
MID_MISSION_S201804MOVE01_A7: 以重裝擊敗綠屬性
MID_MISSION_H_S201804MOVE01_A7: 以重裝的我方\n擊敗綠屬性的敵人。
MID_MISSION_S201804MOVE01_A8: 以重裝擊敗無屬性
MID_MISSION_H_S201804MOVE01_A8: 以重裝的我方\n擊敗無屬性的敵人。
MID_MISSION_S201804MOVE01_A9: 以騎馬擊敗赤屬性
MID_MISSION_H_S201804MOVE01_A9: 以騎馬的我方\n擊敗赤屬性的敵人。
MID_MISSION_S201804MOVE01_A10: 以騎馬擊敗青屬性
MID_MISSION_H_S201804MOVE01_A10: 以騎馬的我方\n擊敗青屬性的敵人。
MID_MISSION_S201804MOVE01_A11: 以騎馬擊敗綠屬性
MID_MISSION_H_S201804MOVE01_A11: 以騎馬的我方\n擊敗綠屬性的敵人。
MID_MISSION_S201804MOVE01_A12: 以騎馬擊敗無屬性
MID_MISSION_H_S201804MOVE01_A12: 以騎馬的我方\n擊敗無屬性的敵人。
MID_MISSION_S201804MOVE01_A13: 以飛行擊敗赤屬性
MID_MISSION_H_S201804MOVE01_A13: 以飛行的我方\n擊敗赤屬性的敵人。
MID_MISSION_S201804MOVE01_A14: 以飛行擊敗青屬性
MID_MISSION_H_S201804MOVE01_A14: 以飛行的我方\n擊敗青屬性的敵人。
MID_MISSION_S201804MOVE01_A15: 以飛行擊敗綠屬性
MID_MISSION_H_S201804MOVE01_A15: 以飛行的我方\n擊敗綠屬性的敵人。
MID_MISSION_S201804MOVE01_A16: 以飛行擊敗無屬性
MID_MISSION_H_S201804MOVE01_A16: 以飛行的我方\n擊敗無屬性的敵人。
MID_MISSION_S201804SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201804SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201804SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201804SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201804SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201804SENKA01_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201804SENKA01_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201804SENKA01_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201804SENKA01_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201804YEAR01_TITLE: 大英雄完全制霸Ⅱ
MID_MISSION_S201804YEAR01_A1: 突破笑臉面具羅羅
MID_MISSION_H_S201804YEAR01_A1: 過關大英雄戰・笑臉面具羅羅。
MID_MISSION_S201804YEAR01_A2: 特殊:突破笑臉面具羅羅
MID_MISSION_H_S201804YEAR01_A2: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・笑臉面具羅羅(超難以上)。
MID_MISSION_S201804YEAR01_A3: 特殊:突破笑臉面具羅羅
MID_MISSION_H_S201804YEAR01_A3: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・笑臉面具羅羅(超難以上)。
MID_MISSION_S201804YEAR01_A4: 特殊:突破笑臉面具羅羅
MID_MISSION_H_S201804YEAR01_A4: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・笑臉面具羅羅(超難以上)。
MID_MISSION_S201804YEAR01_A5: 特殊:突破笑臉面具羅羅
MID_MISSION_H_S201804YEAR01_A5: 僅以被賦予火之祝福的英雄\n或火的傳承英雄編組而成的隊伍，\n過關大英雄戰・笑臉面具羅羅(超難以上)。
MID_MISSION_S201804YEAR01_A6: 突破黑暗狙擊手克萊涅
MID_MISSION_H_S201804YEAR01_A6: 過關大英雄戰・黑暗狙擊手克萊涅。
MID_MISSION_S201804YEAR01_A7: 特殊:突破克萊涅
MID_MISSION_H_S201804YEAR01_A7: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑暗狙擊手克萊涅(超難以上)。
MID_MISSION_S201804YEAR01_A8: 特殊:突破克萊涅
MID_MISSION_H_S201804YEAR01_A8: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑暗狙擊手克萊涅(超難以上)。
MID_MISSION_S201804YEAR01_A9: 特殊:突破克萊涅
MID_MISSION_H_S201804YEAR01_A9: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑暗狙擊手克萊涅(超難以上)。
MID_MISSION_S201804YEAR01_A10: 特殊:突破克萊涅
MID_MISSION_H_S201804YEAR01_A10: 僅以被賦予火之祝福的英雄\n或火的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑暗狙擊手克萊涅(超難以上)。
MID_MISSION_S201804YEAR01_A11: 突破傲慢的王子貝爾克特
MID_MISSION_H_S201804YEAR01_A11: 過關大英雄戰・傲慢的王子貝爾克特。
MID_MISSION_S201804YEAR01_A12: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201804YEAR01_A12: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・傲慢的王子貝爾克特(超難以上)。
MID_MISSION_S201804YEAR01_A13: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201804YEAR01_A13: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・傲慢的王子貝爾克特(超難以上)。
MID_MISSION_S201804YEAR01_A14: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201804YEAR01_A14: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・傲慢的王子貝爾克特(超難以上)。
MID_MISSION_S201804YEAR01_A15: 特殊:突破傲慢的王子貝爾克特
MID_MISSION_H_S201804YEAR01_A15: 僅以被賦予火之祝福的英雄\n或火的傳承英雄編組而成的隊伍，\n過關大英雄戰・傲慢的王子貝爾克特(超難以上)。
MID_MISSION_S201804YEAR01_A16: 突破月光石瓦爾達
MID_MISSION_H_S201804YEAR01_A16: 過關大英雄戰・月光石瓦爾達。
MID_MISSION_S201804YEAR01_A17: 特殊:突破月光石瓦爾達
MID_MISSION_H_S201804YEAR01_A17: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・月光石瓦爾達(超難以上)。
MID_MISSION_S201804YEAR01_A18: 特殊:突破月光石瓦爾達
MID_MISSION_H_S201804YEAR01_A18: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・月光石瓦爾達(超難以上)。
MID_MISSION_S201804YEAR01_A19: 特殊:突破月光石瓦爾達
MID_MISSION_H_S201804YEAR01_A19: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・月光石瓦爾達(超難以上)。
MID_MISSION_S201804YEAR01_A20: 特殊:突破月光石瓦爾達
MID_MISSION_H_S201804YEAR01_A20: 僅以被賦予火之祝福的英雄\n或火的傳承英雄編組而成的隊伍，\n過關大英雄戰・月光石瓦爾達(超難以上)。
MID_MISSION_S201804YEAR01_A21: 突破神炎的皇帝阿爾維斯
MID_MISSION_H_S201804YEAR01_A21: 過關大英雄戰・神炎的皇帝阿爾維斯。
MID_MISSION_S201804YEAR01_A22: 特殊:突破阿爾維斯
MID_MISSION_H_S201804YEAR01_A22: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・神炎的皇帝阿爾維斯(超難以上)。
MID_MISSION_S201804YEAR01_A23: 特殊:突破阿爾維斯
MID_MISSION_H_S201804YEAR01_A23: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・神炎的皇帝阿爾維斯(超難以上)。
MID_MISSION_S201804YEAR01_A24: 特殊:突破阿爾維斯
MID_MISSION_H_S201804YEAR01_A24: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・神炎的皇帝阿爾維斯(超難以上)。
MID_MISSION_S201804YEAR01_A25: 特殊:突破阿爾維斯
MID_MISSION_H_S201804YEAR01_A25: 僅以被賦予火之祝福的英雄\n或火的傳承英雄編組而成的隊伍，\n過關大英雄戰・神炎的皇帝阿爾維斯(超難以上)。
MID_MISSION_S201804YEAR01_A26: 突破解放之王賽菲爾
MID_MISSION_H_S201804YEAR01_A26: 過關大英雄戰・解放之王賽菲爾。
MID_MISSION_S201804YEAR01_A27: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201804YEAR01_A27: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・解放之王賽菲爾(超難以上)。
MID_MISSION_S201804YEAR01_A28: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201804YEAR01_A28: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・解放之王賽菲爾(超難以上)。
MID_MISSION_S201804YEAR01_A29: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201804YEAR01_A29: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・解放之王賽菲爾(超難以上)。
MID_MISSION_S201804YEAR01_A30: 特殊:突破解放之王賽菲爾
MID_MISSION_H_S201804YEAR01_A30: 僅以被賦予火之祝福的英雄\n或火的傳承英雄編組而成的隊伍，\n過關大英雄戰・解放之王賽菲爾(超難以上)。
MID_MISSION_S201804YEAR01_A31: 突破黑騎士卡謬
MID_MISSION_H_S201804YEAR01_A31: 過關大英雄戰・黑騎士卡謬
MID_MISSION_S201804YEAR01_A32: 特殊:突破黑騎士卡謬
MID_MISSION_H_S201804YEAR01_A32: 僅以被賦予水之祝福的英雄\n或水的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑騎士卡謬(超難以上)。
MID_MISSION_S201804YEAR01_A33: 特殊:突破黑騎士卡謬
MID_MISSION_H_S201804YEAR01_A33: 僅以被賦予風之祝福的英雄\n或風的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑騎士卡謬(超難以上)。
MID_MISSION_S201804YEAR01_A34: 特殊:突破黑騎士卡謬
MID_MISSION_H_S201804YEAR01_A34: 僅以被賦予地之祝福的英雄\n或地的傳承英雄編組而成的隊伍，\n過關大英雄戰・黑騎士卡謬(超難以上)。
MID_MISSION_S201804YEAR01_A35: 特殊:突破黑騎士卡謬
