[Heroes Archive] (Data_50_if01)


Heroes Message Name: Message


MID_MISSION_S201804BLESS01_TITLE: 風之祝福
MID_MISSION_S201804BLESS01_A1: 以風之祝福的我方擊敗
MID_MISSION_H_S201804BLESS01_A1: 以被賦予風之祝福的英雄擊敗敵人。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A2: 特殊:以風之祝福的我方擊敗
MID_MISSION_H_S201804BLESS01_A2: 以被賦予風之祝福的英雄，\n擊敗等級20以上的敵人。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A3: 特殊:以風之祝福的我方擊敗
MID_MISSION_H_S201804BLESS01_A3: 以被賦予風之祝福的英雄，\n擊敗等級35以上的赤屬性敵人。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A4: 特殊:以風之祝福的我方擊敗
MID_MISSION_H_S201804BLESS01_A4: 以被賦予風之祝福的英雄，\n擊敗等級35以上的青屬性敵人。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A5: 特殊:以風之祝福的我方擊敗
MID_MISSION_H_S201804BLESS01_A5: 以被賦予風之祝福的英雄，\n擊敗等級35以上的綠屬性敵人。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A6: 特殊:突破修練之塔・第1層
MID_MISSION_H_S201804BLESS01_A6: 我軍內有被賦予風之祝福的英雄，\n過關修練之塔・第1層。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A7: 特殊:突破修練之塔・第5層
MID_MISSION_H_S201804BLESS01_A7: 我軍內有被賦予風之祝福的英雄，\n過關修練之塔・第5層。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804BLESS01_A8: 特殊:突破修練之塔・第10層
MID_MISSION_H_S201804BLESS01_A8: 我軍內有被賦予風之祝福的英雄，\n過關修練之塔・第10層。\n(風的傳承英雄與被賦予風之祝福的英雄不同)
MID_MISSION_S201804GW01_TITLE: 黃金週特別任務
MID_MISSION_S201804GW01_A1: 特殊:擊敗LV10以上
MID_MISSION_H_S201804GW01_A1: 以赤屬性的我方\n擊敗等級10以上綠屬性的敵人。
MID_MISSION_S201804GW01_A2: 特殊:擊敗LV10以上
MID_MISSION_H_S201804GW01_A2: 以青屬性的我方\n擊敗等級10以上赤屬性的敵人。
MID_MISSION_S201804GW01_A3: 特殊:擊敗LV10以上
MID_MISSION_H_S201804GW01_A3: 以綠屬性的我方\n擊敗等級10以上青屬性的敵人。
MID_MISSION_S201804GW01_A4: 特殊:擊敗LV10以上
MID_MISSION_H_S201804GW01_A4: 以赤屬性的我方\n擊敗等級10以上武器為斧的敵人。
MID_MISSION_S201804GW01_A5: 特殊:擊敗LV10以上
MID_MISSION_H_S201804GW01_A5: 以青屬性的我方\n擊敗等級10以上武器為劍的敵人。
MID_MISSION_S201804GW01_A6: 特殊:擊敗LV10以上
MID_MISSION_H_S201804GW01_A6: 以綠屬性的我方\n擊敗等級10以上武器為槍的敵人。
MID_MISSION_S201804GW01_A7: 特殊:擊敗LV20以上
MID_MISSION_H_S201804GW01_A7: 以赤屬性的我方\n擊敗等級20以上綠屬性的敵人。
