[Heroes Archive] (Data_51_seisen02)


Heroes Message Name: Message


MID_MISSION_S201805ARM01_TITLE: 武器類型
MID_MISSION_S201805ARM01_A1: 以劍擊敗敵人
MID_MISSION_H_S201805ARM01_A1: 以劍的我方擊敗敵人。
MID_MISSION_S201805ARM01_A2: 以槍擊敗敵人
MID_MISSION_H_S201805ARM01_A2: 以槍的我方擊敗敵人。
MID_MISSION_S201805ARM01_A3: 以斧擊敗敵人
MID_MISSION_H_S201805ARM01_A3: 以斧的我方擊敗敵人。
MID_MISSION_S201805ARM01_A4: 以無屬性弓擊敗敵人
MID_MISSION_H_S201805ARM01_A4: 以無屬性弓的我方擊敗敵人。
MID_MISSION_S201805ARM01_A5: 以暗器擊敗敵人
MID_MISSION_H_S201805ARM01_A5: 以暗器的我方擊敗敵人。
MID_MISSION_S201805ARM01_A6: 以赤魔擊敗敵人
MID_MISSION_H_S201805ARM01_A6: 以赤魔的我方擊敗敵人。
MID_MISSION_S201805ARM01_A7: 以青魔擊敗敵人
MID_MISSION_H_S201805ARM01_A7: 以青魔的我方擊敗敵人。
MID_MISSION_S201805ARM01_A8: 以綠魔擊敗敵人
MID_MISSION_H_S201805ARM01_A8: 以綠魔的我方擊敗敵人。
MID_MISSION_S201805ARM01_A9: 以杖擊敗敵人
MID_MISSION_H_S201805ARM01_A9: 以杖的我方擊敗敵人。
MID_MISSION_S201805ARM01_A10: 以劍擊敗LV35以上
MID_MISSION_H_S201805ARM01_A10: 以劍的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A11: 以槍擊敗LV35以上
MID_MISSION_H_S201805ARM01_A11: 以槍的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A12: 以斧擊敗LV35以上
MID_MISSION_H_S201805ARM01_A12: 以斧的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A13: 以無屬性弓擊敗LV35以上
MID_MISSION_H_S201805ARM01_A13: 以無屬性弓的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A14: 以暗器擊敗LV35以上
MID_MISSION_H_S201805ARM01_A14: 以暗器的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A15: 以赤魔擊敗LV35以上
MID_MISSION_H_S201805ARM01_A15: 以赤魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A16: 以青魔擊敗LV35以上
MID_MISSION_H_S201805ARM01_A16: 以青魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A17: 以綠魔擊敗LV35以上
MID_MISSION_H_S201805ARM01_A17: 以綠魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805ARM01_A18: 以杖擊敗LV35以上
MID_MISSION_H_S201805ARM01_A18: 以杖的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201805DAISEIATU01_TITLE: 大壓制戰
MID_MISSION_S201805DAISEIATU01_A1: 於大壓制戰中獲得得分
MID_MISSION_H_S201805DAISEIATU01_A1: 於大壓制戰中獲得得分。
MID_MISSION_S201805DAISEIATU01_A2: 於大壓制戰中獲得得分
MID_MISSION_H_S201805DAISEIATU01_A2: 於大壓制戰中獲得得分。
MID_MISSION_S201805DAISEIATU01_A3: 於大壓制戰中獲得得分
MID_MISSION_H_S201805DAISEIATU01_A3: 於大壓制戰中獲得得分。
MID_MISSION_S201805DAISEIATU01_A4: 突破修練之塔・第2層
MID_MISSION_H_S201805DAISEIATU01_A4: 過關修練之塔・第2層。
MID_MISSION_S201805DAISEIATU01_A5: 突破修練之塔・第8層
MID_MISSION_H_S201805DAISEIATU01_A5: 過關修練之塔・第8層。
MID_MISSION_S201805DAISEIATU01_A6: 在鬥技場獲勝
MID_MISSION_H_S201805DAISEIATU01_A6: 在鬥技場獲勝。
MID_MISSION_S201805STORY01_TITLE: 炎之地獄
