[Heroes Archive] (Data_522_legend05)


Heroes Message Name: Message


MID_MISSION_M201806A_TITLE: ６月任務Ａ
MID_MISSION_M201806A_A1: 以青屬性擊敗敵人
MID_MISSION_H_M201806A_A1: 以青屬性的我方擊敗敵人。
MID_MISSION_M201806A_A2: 以步行擊敗敵人
MID_MISSION_H_M201806A_A2: 以步行的我方擊敗敵人。
MID_MISSION_M201806A_A3: 擊敗綠屬性
MID_MISSION_H_M201806A_A3: 擊敗綠屬性的敵人。
MID_MISSION_M201806A_A4: 擊敗飛行
MID_MISSION_H_M201806A_A4: 擊敗飛行的敵人。
MID_MISSION_M201806A_A5: 在鬥技場獲勝
MID_MISSION_H_M201806A_A5: 在鬥技場獲勝。
MID_MISSION_M201806A_A6: 以赤屬性擊敗LV20以上
MID_MISSION_H_M201806A_A6: 以赤屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201806A_A7: 以飛行擊敗LV20以上
MID_MISSION_H_M201806A_A7: 以飛行的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201806A_A8: 擊敗LV20以上的青屬性
MID_MISSION_H_M201806A_A8: 擊敗等級20以上青屬性的敵人。
MID_MISSION_M201806A_A9: 擊敗LV20以上的步行
MID_MISSION_H_M201806A_A9: 擊敗等級20以上步行的敵人。
MID_MISSION_M201806A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201806A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201806A_A11: 以綠屬性擊敗LV35以上
MID_MISSION_H_M201806A_A11: 以綠屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201806A_A12: 以騎馬擊敗LV35以上
MID_MISSION_H_M201806A_A12: 以騎馬的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201806A_A13: 擊敗LV35以上的赤屬性
MID_MISSION_H_M201806A_A13: 擊敗等級35以上的赤屬性敵人。
MID_MISSION_M201806A_A14: 擊敗LV35以上的騎馬
MID_MISSION_H_M201806A_A14: 擊敗等級35以上騎馬的敵人。
MID_MISSION_M201806A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201806A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_M201806B_TITLE: ６月任務Ｂ
MID_MISSION_M201806B_A1: 特殊:突破修練之塔・第1層
