[Heroes Archive] (Data_53_rekka02)


Heroes Message Name: Message


MDAID_貝殻の髪飾り: 貝殼的髮飾
MDAID_H_貝殻の髪飾り: 使用美麗的貝殼製作而成的髮飾。
MDAID_水中ゴーグル: 水中護目鏡
MDAID_H_水中ゴーグル: 在水中也能看得一清二楚的護目鏡。\n附有呼吸管，使人能仔細地進行水底觀察。
MDAID_アスクの髪飾り: 亞斯克的髮飾
MDAID_H_アスクの髪飾り: 配有亞斯克王國紋章的髮飾。
MDAID_謎の男のマスク: 謎樣男子的面具
MDAID_H_謎の男のマスク: 和謎樣男子使用的面具十分相似。\n難道是備用品嗎？
MDAID_フェーの人形: 菲的玩偶
MDAID_H_フェーの人形: 與特務機關的傳信貓頭鷹「菲」\n相當神似的玩偶。\n就連柔軟度也真實地呈現了。
MDAID_春うさぎの帽子: 春日兔子的帽子
MDAID_H_春うさぎの帽子: 被爽朗春日給吸引的英雄們所戴的帽子。\n有著很有特色的兔子表情。
MDAID_謎の剣士の仮面: 神秘劍客的面具
MDAID_H_謎の剣士の仮面: 自稱為英雄王馬爾斯的劍士曾穿戴過的面具。
MID_MISSION_S201806ARENA01_TITLE: 鬥技場
MID_MISSION_S201806ARENA01_A1: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A1: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A2: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A2: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A3: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A3: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A4: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A4: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A5: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A5: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A6: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A6: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A7: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A7: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A8: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A8: 在鬥技場獲勝。
MID_MISSION_S201806ARENA01_A9: 在鬥技場獲勝
MID_MISSION_H_S201806ARENA01_A9: 在鬥技場獲勝。
MID_MISSION_S201806HERO01_TITLE: 大英雄戰
MID_MISSION_S201806HERO01_A1: 特殊:突破奧利瓦
MID_MISSION_H_S201806HERO01_A1: 將安娜編入我軍，\n過關大英雄戰・美的求道者奧利瓦。
MID_MISSION_S201806HERO01_A2: 特殊:突破奧利瓦
MID_MISSION_H_S201806HERO01_A2: 將美的求道者奧利瓦編入我軍，\n過關大英雄戰・美的求道者奧利瓦(超難以上)。
MID_MISSION_S201806HERO01_A3: 特殊:擊敗奧利瓦
MID_MISSION_H_S201806HERO01_A3: 以安娜\n擊敗等級40以上的美的求道者奧利瓦。
MID_MISSION_S201806HERO01_A4: 特殊:擊敗奧利瓦
MID_MISSION_H_S201806HERO01_A4: 以美的求道者奧利瓦\n擊敗等級40以上的美的求道者奧利瓦。
MID_MISSION_S201806HERO01_A5: 特殊:突破奧利瓦
MID_MISSION_H_S201806HERO01_A5: 我軍全員為騎馬，\n過關大英雄戰・美的求道者奧利瓦(超難以上)。
MID_MISSION_S201806SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201806SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201806SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201806SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201806SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201806SENKA01_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201806SENKA01_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201806SENKA01_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201806SENKA01_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201806ACCE01_TITLE: 飾品紀念
MID_MISSION_S201806ACCE01_A1: 擊敗敵人
MID_MISSION_H_S201806ACCE01_A1: 擊敗敵人。
MID_MISSION_S201806ACCE01_A2: 以槍擊敗LV10以上
MID_MISSION_H_S201806ACCE01_A2: 以槍的我方\n擊敗等級10以上的敵人。
MID_MISSION_S201806ACCE01_A3: 以騎馬擊敗LV30以上
MID_MISSION_H_S201806ACCE01_A3: 以騎馬的我方\n擊敗等級30以上的敵人。
MID_MISSION_S201806STORY01_TITLE: 炎之王，死亡
MID_MISSION_S201806STORY01_A1: 特殊:突破第10章-第1節(超難)
MID_MISSION_H_S201806STORY01_A1: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關<第2部>第10章-第1節(超難)。
MID_MISSION_S201806STORY01_A2: 特殊:突破第10章-第2節(超難)
MID_MISSION_H_S201806STORY01_A2: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關<第2部>第10章-第2節(超難)。
