[Heroes Archive] (Data_55_summer04)


Heroes Message Name: Message


MDAID_黄色いアヒル: 黃色小鴨
MDAID_H_黄色いアヒル: 浮在水面上的鴨子造型玩具。\n輕飄飄地浮在水上的樣子，相當具有療癒效果。
MDAID_温泉手ぬぐい: 溫泉手拭巾
MDAID_H_温泉手ぬぐい: 泡溫泉時使用的手拭巾。\n要注意別把它浸泡在浴池裡唷！
MID_MISSION_S201807KIZUNA01_TITLE: 羈絆英雄戰
MID_MISSION_S201807KIZUNA01_A1: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201807KIZUNA01_A1: 將亞斯克王國的王子阿爾馮斯編入我軍，\n過關羈絆英雄戰・瑞文＆魯塞亞。
MID_MISSION_S201807KIZUNA01_A2: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201807KIZUNA01_A2: 將菲約爾姆編入我軍，\n過關羈絆英雄戰・瑞文＆魯塞亞(超難以上)。
MID_MISSION_S201807KIZUNA01_A3: 特殊:擊敗瑞文
MID_MISSION_H_S201807KIZUNA01_A3: 以亞斯克王國的王子阿爾馮斯\n擊敗等級40以上的瑞文。
MID_MISSION_S201807KIZUNA01_A4: 特殊:擊敗魯塞亞
MID_MISSION_H_S201807KIZUNA01_A4: 以菲約爾姆\n擊敗等級40以上的魯塞亞。
MID_MISSION_S201807KIZUNA01_A5: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201807KIZUNA01_A5: 我軍全員為步行，\n過關羈絆英雄戰・瑞文＆魯塞亞(超難以上)。
MID_MISSION_S201807SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201807SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201807SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201807SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201807SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201807SENKA01_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201807SENKA01_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201807SENKA01_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201807SENKA01_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201807STORY01_TITLE: 夏日再臨
MID_MISSION_S201807STORY01_A1: 特殊:突破外傳22-1節(超難)
MID_MISSION_H_S201807STORY01_A1: 我軍內有成員武器為槍，\n且在4人皆生存的狀態下\n過關外傳22-1節(超難)。
MID_MISSION_S201807STORY01_A2: 特殊:突破外傳22-2節(超難)
MID_MISSION_H_S201807STORY01_A2: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關外傳22-2節(超難)。
MID_MISSION_S201807STORY01_A3: 特殊:突破外傳22-3節(超難)
MID_MISSION_H_S201807STORY01_A3: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關外傳22-3節(超難)。
MID_MISSION_S201807TAPBTL01_D01_TITLE: 點觸大戰・每日任務
MID_MISSION_S201807TAPBTL01_D01_A1: 特殊:擊敗諾瓦爾
MID_MISSION_H_S201807TAPBTL01_D01_A1: 於難度普通的一「觸」即發點觸大戰中，\n擊敗第16～20層的BOSS・諾瓦爾。
MID_MISSION_S201807TAPBTL01_D01_A2: 過關第21～25層
MID_MISSION_H_S201807TAPBTL01_D01_A2: 於一「觸」即發點觸大戰中\n過關第21～25層的關卡。
MID_MISSION_S201807TAPBTL01_D01_A3: 過關關卡
