[Heroes Archive] (Data_57_bon01)


Heroes Message Name: Message


MWID_H_赤暗: 赤暗器　射程２\n敵方防守越高，給予的傷害越少\n可暫時降低敵方能力
MWID_H_青暗: 青暗器　射程２\n敵方防守越高，給予的傷害越少\n可暫時降低敵方能力
MWID_H_緑暗: 綠暗器　射程２\n敵方防守越高，給予的傷害越少\n可暫時降低敵方能力
MDAID_花のかんざし: 花之髮簪
MDAID_H_花のかんざし: 在白夜王國的祭典上販賣的髮飾。\n淺色的花朵看起來相當清爽、可愛。
MDAID_夏祭りのお面: 夏祭面具
MDAID_H_夏祭りのお面: 在白夜王國的祭典上販賣的面具。\n以看起來相當可愛的龍臉為主題製作。
MID_MISSION_S201808ARM01_TITLE: 武器類型
MID_MISSION_S201808ARM01_A1: 以劍擊敗敵人
MID_MISSION_H_S201808ARM01_A1: 以劍的我方擊敗敵人。
MID_MISSION_S201808ARM01_A2: 以槍擊敗敵人
MID_MISSION_H_S201808ARM01_A2: 以槍的我方擊敗敵人。
MID_MISSION_S201808ARM01_A3: 以斧擊敗敵人
MID_MISSION_H_S201808ARM01_A3: 以斧的我方擊敗敵人。
MID_MISSION_S201808ARM01_A4: 以無屬性弓擊敗敵人
MID_MISSION_H_S201808ARM01_A4: 以無屬性弓的我方擊敗敵人。
MID_MISSION_S201808ARM01_A5: 以無屬性暗器擊敗敵人
MID_MISSION_H_S201808ARM01_A5: 以無屬性暗器的我方擊敗敵人。
MID_MISSION_S201808ARM01_A6: 以赤魔擊敗敵人
MID_MISSION_H_S201808ARM01_A6: 以赤魔的我方擊敗敵人。
MID_MISSION_S201808ARM01_A7: 以青魔擊敗敵人
MID_MISSION_H_S201808ARM01_A7: 以青魔的我方擊敗敵人。
MID_MISSION_S201808ARM01_A8: 以綠魔擊敗敵人
MID_MISSION_H_S201808ARM01_A8: 以綠魔的我方擊敗敵人。
MID_MISSION_S201808ARM01_A9: 以杖擊敗敵人
MID_MISSION_H_S201808ARM01_A9: 以杖的我方擊敗敵人。
MID_MISSION_S201808ARM01_A10: 以劍擊敗LV35以上
MID_MISSION_H_S201808ARM01_A10: 以劍的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A11: 以槍擊敗LV35以上
MID_MISSION_H_S201808ARM01_A11: 以槍的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A12: 以斧擊敗LV35以上
MID_MISSION_H_S201808ARM01_A12: 以斧的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A13: 以無屬性弓擊敗LV35以上
MID_MISSION_H_S201808ARM01_A13: 以無屬性弓的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A14: 以無屬性暗器擊敗LV35以上
MID_MISSION_H_S201808ARM01_A14: 以無屬性暗器的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A15: 以赤魔擊敗LV35以上
MID_MISSION_H_S201808ARM01_A15: 以赤魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A16: 以青魔擊敗LV35以上
MID_MISSION_H_S201808ARM01_A16: 以青魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A17: 以綠魔擊敗LV35以上
MID_MISSION_H_S201808ARM01_A17: 以綠魔的我方\n擊敗等級35以上的敵人。
MID_MISSION_S201808ARM01_A18: 以杖擊敗LV35以上
