[Heroes Archive] (Data_582_legend08)


Heroes Message Name: Message


MDAID_貝殻の髪飾り・金: 貝殼的髮飾・金
MDAID_H_貝殻の髪飾り・金: 戰勝傳承英雄馬爾斯的證明。
MDAID_水中ゴーグル・金: 水中護目鏡・金
MDAID_H_水中ゴーグル・金: 戰勝傳承英雄魯弗萊的證明。
MID_MISSION_M201809A_TITLE: ９月任務Ａ
MID_MISSION_M201809A_A1: 以青屬性擊敗敵人
MID_MISSION_H_M201809A_A1: 以青屬性的我方擊敗敵人。
MID_MISSION_M201809A_A2: 以步行擊敗敵人
MID_MISSION_H_M201809A_A2: 以步行的我方擊敗敵人。
MID_MISSION_M201809A_A3: 擊敗綠屬性
MID_MISSION_H_M201809A_A3: 擊敗綠屬性的敵人。
MID_MISSION_M201809A_A4: 擊敗飛行
MID_MISSION_H_M201809A_A4: 擊敗飛行的敵人。
MID_MISSION_M201809A_A5: 在鬥技場獲勝
MID_MISSION_H_M201809A_A5: 在鬥技場獲勝。
MID_MISSION_M201809A_A6: 以赤屬性擊敗LV20以上
MID_MISSION_H_M201809A_A6: 以赤屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201809A_A7: 以飛行擊敗LV20以上
MID_MISSION_H_M201809A_A7: 以飛行的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201809A_A8: 擊敗LV20以上的青屬性
MID_MISSION_H_M201809A_A8: 擊敗等級20以上青屬性的敵人。
MID_MISSION_M201809A_A9: 擊敗LV20以上的步行
MID_MISSION_H_M201809A_A9: 擊敗等級20以上步行的敵人。
MID_MISSION_M201809A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201809A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201809A_A11: 以綠屬性擊敗LV35以上
MID_MISSION_H_M201809A_A11: 以綠屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201809A_A12: 以騎馬擊敗LV35以上
MID_MISSION_H_M201809A_A12: 以騎馬的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201809A_A13: 擊敗LV35以上的赤屬性
MID_MISSION_H_M201809A_A13: 擊敗等級35以上赤屬性的敵人。
MID_MISSION_M201809A_A14: 擊敗LV35以上的騎馬
MID_MISSION_H_M201809A_A14: 擊敗等級35以上騎馬的敵人。
MID_MISSION_M201809A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201809A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_M201809B_TITLE: ９月任務Ｂ
MID_MISSION_M201809B_A1: 特殊:突破修練之塔・第1層
MID_MISSION_H_M201809B_A1: 在4人皆生存的狀態下\n過關修練之塔・第1層。
MID_MISSION_M201809B_A2: 特殊:突破修練之塔・第2層
MID_MISSION_H_M201809B_A2: 在4人皆生存的狀態下\n過關修練之塔・第2層。
MID_MISSION_M201809B_A3: 特殊:突破修練之塔・第3層
MID_MISSION_H_M201809B_A3: 在4人皆生存的狀態下\n過關修練之塔・第3層。
MID_MISSION_M201809B_A4: 特殊:突破修練之塔・第4層
MID_MISSION_H_M201809B_A4: 在4人皆生存的狀態下\n過關修練之塔・第4層。
MID_MISSION_M201809B_A5: 特殊:突破修練之塔・第5層
MID_MISSION_H_M201809B_A5: 在4人皆生存的狀態下\n過關修練之塔・第5層。
MID_MISSION_M201809B_A6: 特殊:突破修練之塔・第6層
MID_MISSION_H_M201809B_A6: 在4人皆生存的狀態下\n過關修練之塔・第6層。
MID_MISSION_M201809B_A7: 特殊:突破修練之塔・第7層
MID_MISSION_H_M201809B_A7: 在4人皆生存的狀態下\n過關修練之塔・第7層。
MID_MISSION_M201809B_A8: 特殊:突破修練之塔・第8層
MID_MISSION_H_M201809B_A8: 在4人皆生存的狀態下\n過關修練之塔・第8層。
MID_MISSION_M201809B_A9: 特殊:突破修練之塔・第9層
MID_MISSION_H_M201809B_A9: 在4人皆生存的狀態下\n過關修練之塔・第9層。
MID_MISSION_M201809B_A10: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201809B_A10: 在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201809B_A11: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201809B_A11: 我軍全員為步行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201809B_A12: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201809B_A12: 我軍全員為重裝，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201809B_A13: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201809B_A13: 我軍全員為騎馬，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201809B_A14: 特殊:突破修練之塔・第10層
MID_MISSION_H_M201809B_A14: 我軍全員為飛行，\n在4人皆生存的狀態下\n過關修練之塔・第10層。
MID_MISSION_M201809C_TITLE: ９月任務Ｃ
MID_MISSION_M201809C_A1: 特殊:突破第6章-第1節
MID_MISSION_H_M201809C_A1: 在4人皆生存的狀態下\n過關第6章-第1節。
MID_MISSION_M201809C_A2: 特殊:突破第6章-第2節
MID_MISSION_H_M201809C_A2: 我軍内有赤屬性成員，\n且在4人皆生存的狀態下\n過關第6章-第2節。
MID_MISSION_M201809C_A3: 特殊:突破第6章-第3節
MID_MISSION_H_M201809C_A3: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第6章-第3節。
MID_MISSION_M201809C_A4: 特殊:突破第6章-第4節
MID_MISSION_H_M201809C_A4: 我軍内有綠屬性成員，\n且在4人皆生存的狀態下\n過關第6章-第4節。
MID_MISSION_M201809C_A5: 特殊:突破第6章-第5節
MID_MISSION_H_M201809C_A5: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第6章-第5節。
MID_MISSION_M201809C_A6: 特殊:突破第9章-第1節(困難)
MID_MISSION_H_M201809C_A6: 在4人皆生存的狀態下\n過關第9章-第1節(困難以上)。
MID_MISSION_M201809C_A7: 特殊:突破第9章-第2節(困難)
MID_MISSION_H_M201809C_A7: 我軍内有赤屬性成員，\n且在4人皆生存的狀態下\n過關第9章-第2節(困難以上)。
MID_MISSION_M201809C_A8: 特殊:突破第9章-第3節(困難)
MID_MISSION_H_M201809C_A8: 我軍内有青屬性成員，\n且在4人皆生存的狀態下\n過關第9章-第3節(困難以上)。
MID_MISSION_M201809C_A9: 特殊:突破第9章-第4節(困難)
MID_MISSION_H_M201809C_A9: 我軍内有綠屬性成員，\n且在4人皆生存的狀態下\n過關第9章-第4節(困難以上)。
MID_MISSION_M201809C_A10: 特殊:突破第9章-第5節(困難)
MID_MISSION_H_M201809C_A10: 我軍内有無屬性成員，\n且在4人皆生存的狀態下\n過關第9章-第5節(困難以上)。
MID_MISSION_M201809C_A11: 特殊:突破第12章-第1節(超難)
MID_MISSION_H_M201809C_A11: 在4人皆生存的狀態下\n過關第12章-第1節(超難)。
MID_MISSION_M201809C_A12: 特殊:突破第12章-第2節(超難)
