[Heroes Archive] (Data_59_seisen03)


Heroes Message Name: Message


MDAID_桃色のアヒル: 桃色小鴨
MDAID_H_桃色のアヒル: 浮在水面上的鴨子造型玩具。\n輕飄飄地浮在水上的樣子，相當具有療癒效果。\n從外觀看來，這個小鴨應該是女孩子。
MDAID_夏うさぎの帽子: 夏日兔子的帽子
MDAID_H_夏うさぎの帽子: 原為被爽朗春日給吸引的英雄們所戴的帽子，\n配合夏天的到來作了一番調整。\n但不變的是那獨具特色的兔子表情。
MID_MISSION_S201809KIZUNA01_TITLE: 羈絆英雄戰
MID_MISSION_S201809KIZUNA01_A1: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201809KIZUNA01_A1: 將亞斯克王國的公主夏蓉編入我軍，\n過關羈絆英雄戰・庫洛武＆莉茲。
MID_MISSION_S201809KIZUNA01_A2: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201809KIZUNA01_A2: 將菲約爾姆編入我軍，\n過關羈絆英雄戰・庫洛武＆莉茲(超難以上)。
MID_MISSION_S201809KIZUNA01_A3: 特殊:擊敗庫洛武
MID_MISSION_H_S201809KIZUNA01_A3: 以亞斯克王國的公主夏蓉\n擊敗等級40以上的新的聖王庫洛武。
MID_MISSION_S201809KIZUNA01_A4: 特殊:擊敗莉茲
MID_MISSION_H_S201809KIZUNA01_A4: 以菲約爾姆\n擊敗等級40以上的活蹦亂跳的修女莉茲。
MID_MISSION_S201809KIZUNA01_A5: 特殊:突破羈絆英雄戰
MID_MISSION_H_S201809KIZUNA01_A5: 我軍全員為飛行，\n過關羈絆英雄戰・庫洛武＆莉茲(超難以上)。
MID_MISSION_S201809SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201809SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201809SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201809SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201809SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201809SENKA01_DAILY_A3: 特殊:突破戰渦連戰
