[Heroes Archive] (Data_61_halloween_02)


Heroes Message Name: Message


MDAID_コウモリの耳: 蝙蝠耳朵
MDAID_H_コウモリの耳: 模仿蝙蝠耳朵製作而成的頭飾。
MDAID_悪魔のツノ: 惡魔角
MDAID_H_悪魔のツノ: 以惡魔角的印象製作而成的頭飾。
MDAID_謎の剣士の仮面・金: 神秘劍客的面具・金
MDAID_H_謎の剣士の仮面・金: 戰勝大英雄拿榭恩的證明。
MDAID_黄色いアヒル・金: 黃金色小鴨
MDAID_H_黄色いアヒル・金: 戰勝大英雄拿巴爾的證明。
MDAID_温泉手ぬぐい・金: 溫泉手拭巾・金
MDAID_H_温泉手ぬぐい・金: 戰勝大英雄魯弗萊的證明。
MDAID_花占いの髪飾り・金: 花占卜髮飾・金
MDAID_H_花占いの髪飾り・金: 戰勝大英雄烏爾斯拉的證明。
MDAID_令嬢のリボン・金: 千金的蝴蝶結・金
MDAID_H_令嬢のリボン・金: 戰勝大英雄洛伊德的證明。
MDAID_踊り子のマスク・金: 舞孃的面具・金
MDAID_H_踊り子のマスク・金: 戰勝大英雄米謝爾的證明。
MDAID_聖職者の帽子・金: 聖職者的帽子・金
MDAID_H_聖職者の帽子・金: 戰勝大英雄馬克斯的證明。
MID_MISSION_S201810DAISEIATU01_TITLE: 大壓制戰
MID_MISSION_S201810DAISEIATU01_A1: 於大壓制戰中獲得得分
MID_MISSION_H_S201810DAISEIATU01_A1: 於大壓制戰中獲得得分。
MID_MISSION_S201810DAISEIATU01_A2: 於大壓制戰中獲得得分
MID_MISSION_H_S201810DAISEIATU01_A2: 於大壓制戰中獲得得分。
MID_MISSION_S201810DAISEIATU01_A3: 於大壓制戰中獲得得分
MID_MISSION_H_S201810DAISEIATU01_A3: 於大壓制戰中獲得得分。
MID_MISSION_S201810DAISEIATU01_A4: 突破修練之塔・第2層
MID_MISSION_H_S201810DAISEIATU01_A4: 過關修練之塔・第2層。
MID_MISSION_S201810DAISEIATU01_A5: 突破修練之塔・第8層
MID_MISSION_H_S201810DAISEIATU01_A5: 過關修練之塔・第8層。
MID_MISSION_S201810DAISEIATU01_A6: 在鬥技場獲勝
MID_MISSION_H_S201810DAISEIATU01_A6: 在鬥技場獲勝。
MID_MISSION_S201810HERO01_TITLE: 大英雄戰
MID_MISSION_S201810HERO01_A1: 特殊:突破龍之御子神流
MID_MISSION_H_S201810HERO01_A1: 將安娜編入我軍，\n過關大英雄戰・龍之御子神流。
MID_MISSION_S201810HERO01_A2: 特殊:突破龍之御子神流
MID_MISSION_H_S201810HERO01_A2: 將龍之御子神流編入我軍，\n過關大英雄戰・龍之御子神流(超難以上)。
MID_MISSION_S201810HERO01_A3: 特殊:擊敗龍之御子神流
MID_MISSION_H_S201810HERO01_A3: 以安娜\n擊敗等級40以上的龍之御子神流。
MID_MISSION_S201810HERO01_A4: 特殊:擊敗龍之御子神流
MID_MISSION_H_S201810HERO01_A4: 以龍之御子神流\n擊敗等級40以上的龍之御子神流。
MID_MISSION_S201810HERO01_A5: 特殊:突破龍之御子神流
MID_MISSION_H_S201810HERO01_A5: 我軍全員為重裝，\n過關大英雄戰・龍之御子神流(超難以上)。
MID_MISSION_S201810SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201810SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201810SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201810SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201810SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201810SENKA01_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201810SENKA01_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201810SENKA01_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201810SENKA01_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201810SENKA02_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201810SENKA02_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201810SENKA02_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201810SENKA02_DAILY_A2: 特殊:突破戰渦連戰
