[Heroes Archive] (Data_622_legend10)


Heroes Message Name: Message


MDAID_フェーの人形・金: 菲的玩偶・金
MDAID_H_フェーの人形・金: 戰勝傳承英雄艾莉可的證明。
MDAID_春うさぎの帽子・金: 春日兔子的帽子・金
MDAID_H_春うさぎの帽子・金: 戰勝傳承英雄琳的證明。
MID_MISSION_M201811A_TITLE: １１月任務Ａ
MID_MISSION_M201811A_A1: 以赤屬性擊敗敵人
MID_MISSION_H_M201811A_A1: 以赤屬性的我方擊敗敵人。
MID_MISSION_M201811A_A2: 以飛行擊敗敵人
MID_MISSION_H_M201811A_A2: 以飛行的我方擊敗敵人。
MID_MISSION_M201811A_A3: 擊敗青屬性
MID_MISSION_H_M201811A_A3: 擊敗青屬性的敵人。
MID_MISSION_M201811A_A4: 擊敗騎馬
MID_MISSION_H_M201811A_A4: 擊敗騎馬的敵人。
MID_MISSION_M201811A_A5: 在鬥技場獲勝
MID_MISSION_H_M201811A_A5: 在鬥技場獲勝。
MID_MISSION_M201811A_A6: 以綠屬性擊敗LV20以上
MID_MISSION_H_M201811A_A6: 以綠屬性的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201811A_A7: 以騎馬擊敗LV20以上
MID_MISSION_H_M201811A_A7: 以騎馬的我方\n擊敗等級20以上的敵人。
MID_MISSION_M201811A_A8: 擊敗LV20以上的赤屬性
MID_MISSION_H_M201811A_A8: 擊敗等級20以上赤屬性的敵人。
MID_MISSION_M201811A_A9: 擊敗LV20以上的飛行
MID_MISSION_H_M201811A_A9: 擊敗等級20以上飛行的敵人。
MID_MISSION_M201811A_A10: 在鬥技場(中級以上)獲勝
MID_MISSION_H_M201811A_A10: 在鬥技場(中級以上)獲勝。
MID_MISSION_M201811A_A11: 以青屬性擊敗LV35以上
MID_MISSION_H_M201811A_A11: 以青屬性的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201811A_A12: 以步行擊敗LV35以上
MID_MISSION_H_M201811A_A12: 以步行的我方\n擊敗等級35以上的敵人。
MID_MISSION_M201811A_A13: 擊敗LV35以上的綠屬性
MID_MISSION_H_M201811A_A13: 擊敗等級35以上綠屬性的敵人。
MID_MISSION_M201811A_A14: 擊敗LV35以上的步行
MID_MISSION_H_M201811A_A14: 擊敗等級35以上步行的敵人。
MID_MISSION_M201811A_A15: 在鬥技場(上級)獲勝
MID_MISSION_H_M201811A_A15: 在鬥技場(上級)獲勝。
MID_MISSION_M201811B_TITLE: １１月任務Ｂ
MID_MISSION_M201811B_A1: 特殊:突破修練之塔・第1層
MID_MISSION_H_M201811B_A1: 在4人皆生存的狀態下\n過關修練之塔・第1層。
MID_MISSION_M201811B_A2: 特殊:突破修練之塔・第2層
MID_MISSION_H_M201811B_A2: 在4人皆生存的狀態下\n過關修練之塔・第2層。
MID_MISSION_M201811B_A3: 特殊:突破修練之塔・第3層
MID_MISSION_H_M201811B_A3: 在4人皆生存的狀態下\n過關修練之塔・第3層。
MID_MISSION_M201811B_A4: 特殊:突破修練之塔・第4層
