[Heroes Archive] (Data_63_dream01)


Heroes Message Name: Message


MDAID_白夜王妃の頭飾り: 白夜王妃的頭飾
MDAID_H_白夜王妃の頭飾り: 白夜王國王妃的頭飾。
MDAID_迷い子の帽子: 迷路孩子之帽
MDAID_H_迷い子の帽子: 年幼阿庫婭戴著的帽子。
MID_MISSION_S201811ARENA01_TITLE: 鬥技場
MID_MISSION_S201811ARENA01_A1: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A1: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A2: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A2: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A3: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A3: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A4: 在縛鎖鬥技場達成3連勝
MID_MISSION_H_S201811ARENA01_A4: 在縛鎖鬥技場達成3連勝。
MID_MISSION_S201811ARENA01_A5: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A5: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A6: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A6: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A7: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A7: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A8: 在縛鎖鬥技場達成5連勝
MID_MISSION_H_S201811ARENA01_A8: 在縛鎖鬥技場達成5連勝。
MID_MISSION_S201811ARENA01_A9: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A9: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A10: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A10: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A11: 在鬥技場獲勝
MID_MISSION_H_S201811ARENA01_A11: 在鬥技場獲勝。
MID_MISSION_S201811ARENA01_A12: 在縛鎖鬥技場達成7連勝
MID_MISSION_H_S201811ARENA01_A12: 在縛鎖鬥技場達成7連勝。
MID_MISSION_S201811HERO01_TITLE: 大英雄戰
MID_MISSION_S201811HERO01_A1: 特殊:突破暗之皇子尤利烏斯
MID_MISSION_H_S201811HERO01_A1: 將亞斯克王國的公主夏蓉編入我軍，\n過關大英雄戰・暗之皇子尤利烏斯。
MID_MISSION_S201811HERO01_A2: 特殊:突破暗之皇子尤利烏斯
MID_MISSION_H_S201811HERO01_A2: 將暗之皇子尤利烏斯編入我軍，\n過關大英雄戰・暗之皇子尤利烏斯(超難以上)。
MID_MISSION_S201811HERO01_A3: 特殊:擊敗暗之皇子尤利烏斯
MID_MISSION_H_S201811HERO01_A3: 將亞斯克王國的公主夏蓉編入我軍，\n擊敗等級40以上的暗之皇子尤利烏斯。
MID_MISSION_S201811HERO01_A4: 特殊:擊敗暗之皇子尤利烏斯
MID_MISSION_H_S201811HERO01_A4: 以暗之皇子尤利烏斯\n擊敗等級40以上的暗之皇子尤利烏斯。
MID_MISSION_S201811HERO01_A5: 特殊:突破暗之皇子尤利烏斯
MID_MISSION_H_S201811HERO01_A5: 我軍全員為飛行，\n過關大英雄戰・暗之皇子尤利烏斯(超難以上)。
MID_MISSION_S201811SENKA01_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201811SENKA01_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA01_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA01_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA01_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA01_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA01_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA01_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA01_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA02_DAILY_TITLE: 戰渦連戰
MID_MISSION_S201811SENKA02_DAILY_A1: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA02_DAILY_A1: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA02_DAILY_A2: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA02_DAILY_A2: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA02_DAILY_A3: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA02_DAILY_A3: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SENKA02_DAILY_A4: 特殊:突破戰渦連戰
MID_MISSION_H_S201811SENKA02_DAILY_A4: 過關戰渦連戰最終地圖。
MID_MISSION_S201811SKY01_TITLE: 飛空城
MID_MISSION_S201811SKY01_A1: 以劍擊敗敵人
MID_MISSION_H_S201811SKY01_A1: 以劍的我方擊敗敵人。
MID_MISSION_S201811SKY01_A2: 以槍擊敗敵人
MID_MISSION_H_S201811SKY01_A2: 以槍的我方擊敗敵人。
MID_MISSION_S201811SKY01_A3: 以斧擊敗敵人
MID_MISSION_H_S201811SKY01_A3: 以斧的我方擊敗敵人。
MID_MISSION_S201811SKY01_A4: 以無屬性弓擊敗敵人
MID_MISSION_H_S201811SKY01_A4: 以無屬性弓的我方擊敗敵人。
MID_MISSION_S201811SKY01_A5: 以無屬性暗器擊敗敵人
MID_MISSION_H_S201811SKY01_A5: 以無屬性暗器的我方擊敗敵人。
MID_MISSION_S201811SKY01_A6: 以赤魔擊敗敵人
MID_MISSION_H_S201811SKY01_A6: 以赤魔的我方擊敗敵人。
MID_MISSION_S201811SKY01_A7: 以青魔擊敗敵人
MID_MISSION_H_S201811SKY01_A7: 以青魔的我方擊敗敵人。
MID_MISSION_S201811SKY01_A8: 以綠魔擊敗敵人
MID_MISSION_H_S201811SKY01_A8: 以綠魔的我方擊敗敵人。
MID_MISSION_S201811SKY01_A9: 以杖擊敗敵人
MID_MISSION_H_S201811SKY01_A9: 以杖的我方擊敗敵人。
MID_MISSION_S201811SKY01_A10: 在飛空城的攻擊中獲勝
MID_MISSION_H_S201811SKY01_A10: 在飛空城的攻擊中獲勝。
MID_MISSION_S201811SKY01_A11: 在飛空城的攻擊中獲勝
MID_MISSION_H_S201811SKY01_A11: 在飛空城的攻擊中獲勝。
MID_MISSION_S201811SKY01_A12: 在飛空城的攻擊中獲勝
MID_MISSION_H_S201811SKY01_A12: 在飛空城的攻擊中獲勝。
MID_MISSION_S201811SKY01_A13: 在飛空城的攻擊中獲勝
MID_MISSION_H_S201811SKY01_A13: 在飛空城的攻擊中獲勝。
MID_MISSION_S201811SKY01_A14: 在飛空城的攻擊中獲勝
MID_MISSION_H_S201811SKY01_A14: 在飛空城的攻擊中獲勝。
MID_MISSION_S201811SKY01_A15: 在飛空城的攻擊中獲勝
MID_MISSION_H_S201811SKY01_A15: 在飛空城的攻擊中獲勝。
MID_MISSION_S201811STORY01_TITLE: 浮雲、朝露
MID_MISSION_S201811STORY01_A1: 特殊:突破外傳27-1節(超難)
MID_MISSION_H_S201811STORY01_A1: 我軍內有成員武器為劍，\n且在4人皆生存的狀態下\n過關外傳27-1節(超難)。
MID_MISSION_S201811STORY01_A2: 特殊:突破外傳27-2節(超難)
MID_MISSION_H_S201811STORY01_A2: 我軍內有成員武器為槍，\n且在4人皆生存的狀態下\n過關外傳27-2節(超難)。
MID_MISSION_S201811STORY01_A3: 特殊:突破外傳27-3節(超難)
MID_MISSION_H_S201811STORY01_A3: 我軍內有成員武器為斧，\n且在4人皆生存的狀態下\n過關外傳27-3節(超難)。
MID_MISSION_S201811TAPBTL01_D01_TITLE: 點觸大戰・每日任務
MID_MISSION_S201811TAPBTL01_D01_A1: 特殊:擊敗露琪娜
