[Heroes Archive] (Menu_00_first)


Heroes Message Name: Message


MID_EXTRA_HEROISM_LIST: 英雄值一覽
MID_EXTRA_HEROISM_LIST_INFO: 夥伴的英雄值一覽。
MID_HOME_FRIEND_TALK_HEROISM: $a來自$a0的禮物
MID_ITEM_GAIN_ACCESSORY: 獲得【聖印】！
MID_ITEM_GAIN_ACCESSORY_WARNING_PREFIX: ※
MID_ITEM_GAIN_ACCESSORY_WARNING: $a無法持有多個相同種類的聖印。\n如果獲得多個相同種類的聖印，\n將會自動轉換成英雄之翼×$a0。
MID_ITEM_HELP_STAMINA_50: 體力+99。
MID_MAP_BATTLE_START: 開始戰鬥
MID_SHOP_STAMINA_CONFIRM_ITEM_50: 是否消費體力回復藥×１\n回復99體力？
MID_SHOP_STAMINA_NOTENOUGH_ITEM_50: 體力不足。\n是否消費體力回復藥×1\n回復99體力？
MID_SHOP_STAMINA_CONFIRM_ORB_50: 是否消費寶珠×1\n回復99體力？
MID_SHOP_STAMINA_NOTENOUGH_ORB_50: 體力不足。\n是否消費寶珠×1\n回復99體力？
MID_STAGE_SELECT_DETAIL_REINFORCEMENT: 出現增援！
MID_STAGE_SELECT_RULE_TURN_SURVIVAL: $a防衛$a0回合
MID_UNIT_EDIT_ACCESSORY_EQUIP: 變更裝備聖印
MID_UNIT_EDIT_ACCESSORY_EQUIP_HELP1: 請選擇要變更裝備聖印的角色。
MID_UNIT_EDIT_ACCESSORY_EQUIP_HELP2: 請選擇要裝備的聖印。
MID_UNIT_EDIT_ACCESSORY_EQUIP_CONFIRM: 要裝備以下的聖印嗎？
MID_UNIT_EDIT_ACCESSORY_EQUIP_UNSET_CONFIRM: 要移除以下的聖印嗎？
MID_UNIT_EDIT_ACCESSORY_EQUIP_CHANGE_CONFIRM: $a目前已經裝備了\n$a0。\n要更換並裝備聖印嗎？
MID_UNIT_EDIT_ACCESSORY_EQUIP_CHANGE_WARNING: $a$a0\n無法裝備要更換的聖印。\n將移除無法裝備的聖印。
MID_UNIT_EDIT_ACCESSORY_EQUIP_DECIDE: 變更裝備
MID_UNIT_EDIT_ACCESSORY_EQUIP_COMPLETE_CONFIRM: 已經變更裝備。
MID_UNIT_EDIT_ACCESSORY_EQUIP_CANCEL_CONFIRM: 要中止變更裝備聖印嗎？
MID_UNIT_EDIT_ACCESSORY_EQUIP_CANCEL_WARNING: 將不會儲存編輯的內容。
MID_UNIT_EDIT_ACCESSORY_WARNING_WEAPON: 因為武器類型的限制，所以無法裝備。
MID_UNIT_EDIT_ACCESSORY_WARNING_MOVE: 因為移動方式的限制，所以無法裝備。
MID_UNIT_EDIT_ACCESSORY_EMPTY: 目前未持有任何聖印。
MID_UNIT_EDIT_ACCESSORY_HELP_DIALOG_00: 裝備聖印，變得更強吧！
MID_UNIT_EDIT_ACCESSORY_HELP_DIALOG_01: ◆變更裝備聖印◆\n讓夥伴裝備獲得的聖印。\n\n每一名夥伴\n只能裝備一個聖印。
MID_UNIT_EDIT_ACCESSORY_HELP_DIALOG_02: ◆持有數量◆\n無法持有多個相同種類的聖印。\n如果獲得多個相同種類的聖印，\n將會自動轉換成英雄之翼。
MID_RELOCATION_TUTORIAL_DIALOG_00: 在【變更配置】中替換夥伴的配置。
MID_RELOCATION_BUTTON: 變更配置
MID_UNIT_EDIT_ACCESSORY_STATUS_EQUIP: 裝備中
MID_UNIT_EDIT_ACCESSORY_EQUIP_CANCEL_DECIDE: 中止
MID_UNIT_NAME_WITH_HONOR: $a$a0　$a1
MID_UNIT_EDIT_SKILL_EQUIP_CONFIRM_NO_COST: 要變更裝備技能嗎？
MID_UNIT_EDIT_SKILL_WARNING_RARITY: $a這是★$a0以上才可學習的技能。
MID_VOTE_ROUND1: 第1戰
MID_VOTE_ROUND2: 第2戰
MID_VOTE_ROUND3: 決戰
MID_VOTE_TITLE: 投票大戰
MID_VOTE_REWARD_TITLE: 檢視報酬
MID_VOTE_RANKING_TITLE: 目前排名
MID_VOTE_BUTTON_RANKING_RX: $a$a0的排名
MID_VOTE_INVESTMENT_TITLE: 選擇攻擊力
MID_VOTE_CLOSED: 目前未舉辦。
MID_VOTE_AGGREGATING: 目前正在計算中。\n請稍後再重新進入。
MID_VOTE_SALLY_MINS: $a$a0分鐘後可再度出戰。
MID_VOTE_SALLY_BUTTON: 出戰
MID_VOTE_ROUND1_MINS: $a距離第１戰結束還有$a0分鐘
MID_VOTE_ROUND1_HOURS: $a距離第1戰結束還有$a0小時
MID_VOTE_ROUND2_MINS: $a距離第2戰結束還有$a0分鐘
MID_VOTE_ROUND2_HOURS: $a距離第2戰結束還有$a0小時
MID_VOTE_ROUND3_MINS: $a距離決戰結束還有$a0分鐘
MID_VOTE_ROUND3_HOURS: $a距離決戰結束還有$a0小時
MID_VOTE_FINALRESULT: 這是本次大戰的最後結果。
MID_VOTE_BUTTON_TO2R: 前往第2戰
MID_VOTE_BUTTON_TO3R: 前往決戰
MID_VOTE_BUTTON_TOFR: 最後結果
MID_VOTE_GUILDWIN_REWARD: 陣營勝利報酬
MID_VOTE_RANK_IN_GUILD: 陣營內部排名
MID_VOTE_TOTAL_SELF_SCORE: 自己的合計得分
MID_VOTE_TOTAL_RANK: 合計排名
MID_VOTE_REWARDTYPE_ROUNDWINNER: $a投票大戰・陣營勝利報酬\n【$a0】
MID_VOTE_REWARDTYPE_ROUNDRANK: $a投票大戰・陣營內部排名報酬\n【$a0】排名　$a1
MID_VOTE_REWARDTYPE_TOTALRANK: $a投票大戰・合計排名報酬\n排名　$a1
MID_VOTE_RUSHDEMO_RATIO: $a×$a0
MID_VOTE_ARMY_NAME: $a$a0軍
MID_VOTE_PLAYER: 我軍
MID_VOTE_OPPONENT: 敵軍
MID_VOTE_PLAYER_SCORE: 自己的得分
MID_VOTE_SCORE: 得分
MID_VOTE_JOIN: 加入
MID_VOTE_JOIN_CONFIRM: 要加入這個英雄的陣營嗎？
MID_VOTE_JOIN_EPITHET_AND_NAME: ___
MID_VOTE_RANK: 排名
MID_VOTE_VIEW_RANK_RANGE: 顯示範圍
MID_VOTE_VIEW_RANK_PLAYER: 自己的排名
MID_VOTE_VIEW_RANK_TOP: 前段
