[Heroes Archive] (Menu_45_valentine01)


Heroes Message Name: Message


MID_HOME_TALK_NAVIGATION_JUMP: 前往挑戰
MID_HOME_TALK_NAVIGATION_LATER: 稍後再說
MID_HOME_TALK_NAVIGATION_NEVER: 以後不再顯示
MID_STAGE_SELECT_SEASONAL_EVENT: 活動
MID_STAGE_SELECT_SEASONAL_EVENT_ENDED: 已結束
MID_STAGE_SELECT_SEASONAL_EVENT_INTERVAL: 目前正在計算中
MID_TAP_BATTLE_TITLE: 點觸大戰
MID_TAP_BATTLE_ENVIRONMENT_INFO: 可編輯點觸大戰的環境設定。
MID_TAP_BATTLE_STAGE_SELECT_DIFFICULTY: $a難度：$a0
MID_TAP_BATTLE_STAGE_SELECT_MODE: $a模式：$a0
MID_TAP_BATTLE_DIFFICULTY0: 普通
MID_TAP_BATTLE_DIFFICULTY1: 困難
MID_TAP_BATTLE_MODE_0: 輕鬆
MID_TAP_BATTLE_MODE_1: 專家
MID_TAP_BATTLE_ENVIRONMENT: 點觸大戰環境設定
MID_TAP_BATTLE_CONFIG_MUTE: 靜音
MID_TAP_BATTLE_CONFIG_SE: 音效
MID_TAP_BATTLE_CONFIG_VOICE: 語音
MID_TAP_BATTLE_CONFIG_TIMING: 調整時機
MID_TAP_BATTLE_CONFIG_ADJUST: 調整
MID_TAP_BATTLE_CLEAR_RANK: $a遊玩評價　$a0
MID_TAP_BATTLE_CLEAR_RANK_0: C
MID_TAP_BATTLE_CLEAR_RANK_1: B
MID_TAP_BATTLE_CLEAR_RANK_2: A
MID_TAP_BATTLE_CLEAR_RANK_3: S
MID_TAP_BATTLE_CLEAR_RANK_NONE: －
MID_TAP_BATTLE_ENTER_STAGE_SELECT: 選擇關卡
MID_TAP_BATTLE_SUBTITLE: 夢幻的１００層地下城
MID_TAP_BATTLE_ENTRANCE_HELP: 點觸畫面，擊敗接連出現的敵人吧！\n抓準時機逐一擊潰，目標是取得高評價！
MID_TAP_BATTLE_ENTRANCE_SETTING: 點觸大戰環境設定
MID_TAP_BATTLE_START: 開始
MID_TAP_BATTLE_BOSS: BOSS!
MID_TAP_BATTLE_VERSUS_BOSS: $a$a0\n$a1
MID_TAP_BATTLE_START_BOSS: 開始戰鬥
MID_TAP_BATTLE_DEFEAT_BOSS: 擊敗
MID_TAP_BATTLE_STAGE_SELECT_PRAISE: $a$a0／$a1的\n全部關卡遊玩評價\n皆獲得「S」評價！
MID_TAP_BATTLE_STAGE_SELECT_REWARD: 首次過關報酬
MID_TAP_BATTLE_STAGE_SELECT_REWARD_WARNING: 各難度・模式之通用報酬。
MID_TAP_BATTLE_STAGE_SELECT_NO_REWARD_WARNING: 您已過關，\n故無法獲得報酬。
MID_TAP_BATTLE_STAGE_SELECT_NO_REWARD_WARNING_OTHER: 您已於其他難度・模式中過關，\n故無法獲得報酬。
MID_TAP_BATTLE_MUSIC_DETAIL_BPM: $aBPM：$a0
MID_TAP_BATTLE_MUSIC_DETAIL_AUTHORITY: 出處
MID_TAP_BATTLE_PAUSE_SURRENDER: 投降
MID_TAP_BATTLE_PAUSE_RETRY: 從頭開始遊玩
MID_TAP_BATTLE_PAUSE_SURRENDER_DECIDE: 投降
MID_TAP_BATTLE_PAUSE_SURRENDER_TEXT: 要投降嗎？
MID_TAP_BATTLE_PAUSE_RETRY_DECIDE: 從頭開始遊玩
MID_TAP_BATTLE_PAUSE_RETRY_TEXT: 要從頭開始遊玩嗎？
MID_TAP_BATTLE_GAME_OVER_TEXT: 要再玩一次嗎？
MID_TAP_BATTLE_GAME_OVER_RETRY_FIRST: 從頭開始遊玩
MID_TAP_BATTLE_GAME_OVER_RETRY_BOSS: 從BOSS戰開始從頭遊玩
MID_TAP_BATTLE_GAME_OVER_QUIT: 放棄
MID_TAP_BATTLE_GAME_OVER_TIMING: 調整時機
MID_TAP_BATTLE_RESULT_CURRENT: 本次成績
MID_TAP_BATTLE_RESULT_DIFFICULTY_MODE: $a$a0／$a1
MID_TAP_BATTLE_RESULT_CONFIRM: 確認
MID_TAP_BATTLE_RESULT_REPLAY: 再度遊玩
MID_TAP_BATTLE_RESULT_COMMENT_GAME_OVER: 下回以一次過關為目標吧。
MID_TAP_BATTLE_RESULT_COMMENT_MAX_COMBO_FULL: $aCOMBO次數為$a0次，\n達成PERFECT評價！
MID_TAP_BATTLE_RESULT_COMMENT_CRITICAL_COUNT: $a只差$a0次即可達成PERFECT！
MID_TAP_BATTLE_RESULT_COMMENT_TIMING: 可從設定中調整時機。
MID_TAP_BATTLE_RESULT_COMMENT_MAX_COMBO: $aCOMBO最多為$a0次。
MID_TAP_BATTLE_RESULT_COMMENT_MAX_COMBO_NEW_RECORD: $aCOMBO最多為$a0次，達成新記錄。
MID_TAP_BATTLE_RESULT_COMMENT_CRITICAL_COUNT_MAX_COMBO: $a只差$a0次即可達成PERFECT！\nCOMBO最多為$a1次。
MID_TAP_BATTLE_RESULT_COMMENT_CRITICAL_COUNT_MAX_COMBO_NEW_RECORD: $a只差$a0次即可達成PERFECT！\nCOMBO最多為$a1次，達成新記錄。
MID_TAP_BATTLE_RESULT_COMMENT_TIMING_MAX_COMBO: $aCOMBO最多為$a0次。\n可從設定中調整時機。
MID_TAP_BATTLE_RESULT_COMMENT_TIMING_MAX_COMBO_NEW_RECORD: $aCOMBO最多為$a0次，達成新記錄。\n可從設定中調整時機。
MID_TAP_BATTLE_TIMING_DIALOG_TEXT: 調整時機。\n請配合音效響起的時機\n點觸遊戲畫面。
MID_TAP_BATTLE_TIMING_FRAME_INFOMATION: 請在聽到響亮的音效時\n點觸遊戲畫面。
MID_TAP_BATTLE_TIMING_DIALOG_ADJUST: 調整
MID_TAP_BATTLE_TIMING_DIALOG_ADJUST_MANUALLY: 手動調整
MID_TAP_BATTLE_TIMING_DIALOG_COMPLETE: 已調整時機。\n要變更為現在的設定嗎？
MID_TAP_BATTLE_TIMING_DIALOG_DECIDE: 變更
MID_TAP_BATTLE_TIMING_DIALOG_REVERT: 不變更
MID_TAP_BATTLE_TIMING_DIALOG_READJUST: 再次調整
MID_TAP_BATTLE_TIMING_DIALOG_TEXT_ADJUST_MANUALLY: 時機可手動調整。
MID_TAP_BATTLE_TIMING_TEST: 測試遊玩
MID_TAP_BATTLE_CLOSED: 目前未舉辦。
MID_TAP_BATTLE_STAGE_SELECT_FAILED: 無法開始戰鬥。
MID_TAP_BATTLE_STAGE_SELECT_EXPIRED: 本次地下城的活動時間\n已結束。
MID_TAP_BATTLE_STAGE_SELECT_INSUFFICIENT_UNIT: 部隊人數不足。
MID_TAP_BATTLE_STAGE_SELECT_RELOAD: 請移動至其他畫面後重新返回。
MID_TAP_BATTLE_REMAINING_MINUTES: $a距離結束還有$a0分鐘
MID_TAP_BATTLE_REMAINING_HOURS: $a距離結束還有$a0小時
MID_TAP_BATTLE_REMAINING_DAYS: $a距離結束還有$a0天
MID_TAP_BATTLE_NEXT_STAGE_REMAINING_MINUTES: $a距離下一個關卡出現還有$a0分鐘
MID_TAP_BATTLE_NEXT_STAGE_REMAINING_HOURS: $a距離下一個關卡出現還有$a0小時
MID_TAP_BATTLE_NEXT_STAGE_REMAINING_DAYS: $a距離下一個關卡出現還有$a0天
MID_TAP_BATTLE_DATA_TOP_FLOOR: 在地下城深處發現溫泉！\n大家一起泡的話，內心也感覺暖暖的。
MID_TAP_BATTLE_HELP_DIALOG_00: 點觸畫面，逐一擊敗敵人！\n
MID_TAP_BATTLE_HELP_DIALOG_01: ◆點觸大戰◆\n點觸畫面以擊敗敵人的動作遊戲。\n\n請一邊遊玩\n一邊聆聽角色語音和音樂喔。
