[Heroes Archive] (Menu_47_kakusei01)


Heroes Message Name: Message


MID_BLESSINGMAP_HELP_DIALOG_00: 帶領被賦予祝福英雄、傳承英雄挑戰！
MID_BLESSINGMAP_HELP_DIALOG_01: ◆四天庭園◆\n這裡是一座古代空中庭園。\n也是據傳為\n「隱藏著龐大財寶的樂園」。\n\n只有被賦予祝福的英雄、\n或是傳承英雄才能看見這座庭園，\n進而入內探險。
MID_BLESSINGMAP_HELP_DIALOG_02: ◆四天庭園之限制１◆\n・在水之庭園中，\n　只有被賦予水之祝福的英雄\n　或水的傳承英雄才可出擊。\n\n・風、地、火之庭園亦有相同限制。
MID_BLESSINGMAP_HELP_DIALOG_03: ◆四天庭園之限制２◆\n・必須要有４名英雄。\n\n・加入部隊裡的英雄不能重複。\n\n・無法使用光之加護。
MID_BLESSINGMAP_HELP_DIALOG_04: ◆四天庭園的傳承效果◆\n在四天庭園中，傳承英雄的傳承效果\n並不會被季節影響，將常態性發生。\n\n◆賦予祝福的方法◆\n於「夥伴」選單中選取「特別強化」\n即可看見「賦予祝福」選項。
MID_STAGE_SELECT_BLESSING_GARDEN: 四天庭園
MID_STAGE_SELECT_BLESSING_GARDEN_WATER: 水之庭園
MID_STAGE_SELECT_BLESSING_GARDEN_WIND: 風之庭園
MID_STAGE_SELECT_BLESSING_GARDEN_EARTH: 地之庭園
MID_STAGE_SELECT_BLESSING_GARDEN_FIRE: 火之庭園
MID_STAGE_SELECT_BLESSING_GARDEN_INFO_WATER: 只有被賦予水之祝福的英雄\n或水的傳承英雄才可進入的庭園。
MID_STAGE_SELECT_BLESSING_GARDEN_INFO_WIND: 只有被賦予風之祝福的英雄\n或風的傳承英雄才可進入的庭園。
MID_STAGE_SELECT_BLESSING_GARDEN_INFO_EARTH: 只有被賦予地之祝福的英雄\n或地的傳承英雄才可進入的庭園。
MID_STAGE_SELECT_BLESSING_GARDEN_INFO_FIRE: 只有被賦予火之祝福的英雄\n或火的傳承英雄才可進入的庭園。
MID_STAGE_SELECT_DETAIL_NOT_BLESSING_UNIT_FIRE: 於本張地圖中，\n部隊中只能編入火的傳承英雄\n或是被賦予火之祝福的英雄。
MID_STAGE_SELECT_DETAIL_NOT_BLESSING_UNIT_WATER: 於本張地圖中，\n部隊中只能編入水的傳承英雄\n或是被賦予水之祝福的英雄。
MID_STAGE_SELECT_DETAIL_NOT_BLESSING_UNIT_WIND: 於本張地圖中，\n部隊中只能編入風的傳承英雄\n或是被賦予風之祝福的英雄。
MID_STAGE_SELECT_DETAIL_NOT_BLESSING_UNIT_EARTH: 於本張地圖中，\n部隊中只能編入地的傳承英雄\n或是被賦予地之祝福的英雄。
MID_STAGE_SELECT_BLESSING_GARDEN_FIRST_TIME_REWARD_TITLE: 四天庭園　初次入場獎勵
MID_STAGE_SELECT_BLESSING_GARDEN_NEXT_MINUTE: $a距離追加新地圖還有$a0分鐘
MID_STAGE_SELECT_BLESSING_GARDEN_NEXT_HOUR: $a距離追加新地圖還有$a0小時
MID_STAGE_SELECT_BLESSING_GARDEN_NEXT_DAY: $a距離追加新地圖還有$a0天
MID_STAGE_OPEN_FIRST_BLESSING_GARDEN: 四天庭園現已開放。
MID_STAGE_SELECT_BLESSING_GARDEN_INFO: 部隊中必須要有４名英雄。並且\n加入部隊裡的英雄不能重複。
MID_OCCUPATION_MAP_FORTRESS: 根據地
MID_OCCUPATION_MAP_HUB: 陣地
MID_OCCUPATION_MAP_SCORE_KILL: 擊敗數
MID_OCCUPATION_MAP_SCORE_HUB_NUM: 陣地數
MID_OCCUPATION_MAP_SCORE_FORTRESS_HP: 根據地HP
MID_OCCUPATION_MAP_SCORE_BONUS: 獎勵得分
MID_OCCUPATION_STAGE_TELOP_RULE_TITLE: 壓制戰
MID_OCCUPATION_STAGE_TELOP_RULE: $a$a0回合戰鬥
MID_OCCUPATION_RESULT: 本次結果
MID_OCCUPATION_RESULT_KILL: 擊敗評價
MID_OCCUPATION_RESULT_DEFENCE: 根據地防衛評價
MID_OCCUPATION_RESULT_OFFENCE: 根據地攻擊評價
MID_OCCUPATION_RESULT_DOMINATION: 陣地占領評價
MID_OCCUPATION_RESULT_SCORE: 本次得分
MID_OCCUPATION_RESULT_SCORE_BORDER: 目標得分
MID_OCCUPATION_RESULT_BONUS: 獎勵得分
MID_OCCUPATION_RESULT_EVALUATION_S: S
MID_OCCUPATION_RESULT_EVALUATION_A: A
MID_OCCUPATION_RESULT_EVALUATION_B: B
MID_OCCUPATION_RESULT_EVALUATION_C: C
MID_OCCUPATION_RESULT_DETAIL: $a($a0)
MID_OCCUPATION_RESULT_SCORE_SUFFICIENT: 達成目標！
MID_OCCUPATION_RESULT_SCORE_INSUFFICIENT: 距離目標得分還有
MID_OCCUPATION_RESULT_ACHIEVEMENT_UNLOCK: 獲得過關報酬！
MID_OCCUPATION_RESULT_ACHIEVEMENT_RECEIVED: 已領取過關報酬。
MID_OCCUPATION_RESULT_ACHIEVEMENT_DETAIL: 達到目標得分即可獲得過關報酬！
MID_OCCUPATION_STAGE_SELECT_SCORE: 得分
MID_OCCUPATION_STAGE_SELECT_SCORE_AND_BONUS: 得分/獎勵條件
MID_OCCUPATION_STAGE_SELECT_SCORE_MAX: 最高得分
