[Heroes Archive] (Menu_55_summer04)


Heroes Message Name: Message


MID_EVENT_RECOLLECTION: 活動劇情回顧
MID_EVENT_RECOLLECTION_SEQUENTIAL_MAP: 戰渦連戰
MID_EVENT_RECOLLECTION_SEQUENTIAL_MAP_OPENING: 開場劇情
MID_EVENT_RECOLLECTION_SEQUENTIAL_MAP_ENDING: 結束劇情
MID_EVENT_RECOLLECTION_INFO: 可回顧活動內的劇情。
MID_MAP_RETRY: 重新挑戰
MID_MAP_RETRY_CONFIRM: 要從頭開始挑戰嗎？
MID_MAP_RETRY_DECIDE: 重新挑戰
MID_MAP_RETRY_CANCEL: 放棄
MID_MAP_PHASE_WITH_LIMIT: $a行動階段 $a0/$a1
MID_MISSION_PROGRESS_DIALOG_LIST_ACHIEVED_HELP: 可經由任務清單領取報酬。
MID_OCCUPATION_HELP_DIALOG_08_02: ◆大壓制階級◆\n・隨著自己獲得得分的累積，\n　大壓制階級將會隨之提升。\n\n・若大壓制階級提升，加至下次戰鬥時\n　所選區域之相鄰區域的\n　點數也會上升。\n・另外也會獲得報酬。
MID_OCCUPATION_AREA_ALLY_RANKING_REINFORCE_ONLY: 支援
MID_OCCUPATION_REWARD_SORT_RANK: 陣營內部排名
MID_OCCUPATION_REWARD_RANK: 排名
MID_OCCUPATION_RANKING: 現在排名
MID_OCCUPATION_RANKING_SORT_TYPE: $a現在排名：$a0
MID_OCCUPATION_RANKING_SORT_TOP: 前段
MID_OCCUPATION_RANK_OUT_OF_RANGE: 排名外
MID_OCCUPATION_RANKING_UNCALCULATED: 正在計算排名。
MID_OCCUPATION_GAINED_REWARDTYPE_ROUND_RANK: $a投票大戰・陣營內部排名報酬　第$a0戰
MID_OCCUPATION_RANKING_SCORE: 得分
MID_SEQUENTIAL_MAP_TERM_201807: 晚安，祝好夢
MID_STAGE_SELECT_RULE_TURN_ENEMY_PHASE: $a$a0回合（敵軍）內獲勝
MID_STAGE_SELECT_PUZZLE: 解謎地圖
MID_STAGE_SELECT_PUZZLE_INFO: 可以一邊遊玩一邊學習戰鬥規則的地圖。
MID_STAGE_SELECT_PUZZLE_MODE_BASIC: 基本篇
MID_STAGE_SELECT_PUZZLE_MODE_BASIC_INFO: 可以在這裡學習\n基本的戰鬥方式。
MID_STAGE_SELECT_PUZZLE_MODE_SKILL: 技能篇
MID_STAGE_SELECT_PUZZLE_MODE_SKILL_INFO: 利用技能效果\n挑戰問題關卡。
MID_STAGE_SELECT_PUZZLE_MODE_TACTICS: 超難題
MID_STAGE_SELECT_PUZZLE_MODE_TACTICS_INFO: 挑戰以高階玩家為對象\n出題的高難度謎題。
MID_PUZZLE_HELP_DIALOG_00: 邊遊玩邊學習吧！
MID_PUZZLE_HELP_DIALOG_01: ◆解謎地圖◆\n可以一邊遊玩，\n一邊學習戰鬥規則的地圖。\n\n需使用各地圖中預設的\n我方夥伴進行挑戰獲勝。
MID_PUZZLE_HELP_DIALOG_02: ◆超難題◆\n難度非常高的解謎地圖。\n\n過關主線劇情\n第１部第１３章後\n即可進行挑戰。
MID_STAGE_OPEN_FIRST_PUZZLE: 解謎地圖已開放。
MID_STAGE_OPEN_NEW_PUZZLE: 解謎地圖中\n增加了新的關卡。
MID_STAGE_SELECT_RULE_PHASE: $a$a0行動階段內獲勝
MID_TAP_BATTLE_RESULT_COMMENT_FULL: 達成PERFECT評價！
