[Heroes Archive] (Menu_63_dream01)


Heroes Message Name: Message


MID_ITEM_HOLY_GRAIL: 英雄的聖杯
MID_ITEM_HELP_HOLY_GRAIL: 用於「夥伴」選單的「以聖杯召喚英雄」\n可以召喚部分英雄，使其成為夥伴
MID_ITEM_SKYCASTLE_STONE: 飛空石
MID_ITEM_HELP_SKYCASTLE_STONE: 用於「飛空城」\n可以製造‧強化飛空城設備
MID_ITEM_SKYCASTLE_DROP: 天空水滴
MID_ITEM_HELP_SKYCASTLE_DROP: 用於「飛空城」\n可以強化攻擊堡壘、防衛堡壘、資源設備
MID_ITEM_SKYCASTLE_THRONE_0: 黃金寶座
MID_ITEM_HELP_SKYCASTLE_THRONE_0: $a於飛空城達成排名$a0～$a1名\n之人才能坐上的寶座
MID_ITEM_SKYCASTLE_THRONE_1: 白銀寶座
MID_ITEM_HELP_SKYCASTLE_THRONE_1: $a於飛空城達成排名$a0～$a1名\n之人才能坐上的寶座
MID_ITEM_SKYCASTLE_THRONE_2: 銅之寶座
MID_ITEM_HELP_SKYCASTLE_THRONE_2: $a於飛空城達成排名$a0～$a1名\n之人才能坐上的寶座
MID_OCCUPATION_GUILD_NAME: $a$a0軍
MID_REPLAY_FAILED_CONFIRM: 播放重播失敗。
MID_MAP_REPLAY_END_ABORT_CONFIRM: $a要結束重播與\n$a0的戰鬥嗎？
MID_MAP_REPLAY_END_COMPLETE_CONFIRM: $a$a0\n勝利了。
MID_MAP_REPLAY_END_GAMEOVER_CONFIRM: $a$a0\n敗北了。
MID_MAP_REPLAY_END_SURRENDER_CONFIRM: $a$a0\n投降了。
MID_MAP_REPLAY_END_DECIDE: 結束重播
MID_SEQUENTIAL_MAP_TERM_201811: 與你相遇前
MID_SKYCASTLE_TITLE: 飛空城
MID_SKYCASTLE_RANK: 位階
MID_SKYCASTLE_RATE: 評價
MID_SKYCASTLE_SEASON_DAYS: $a距離賽季結束還有$a0天
MID_SKYCASTLE_SEASON_HOURS: $a距離賽季結束還有$a0小時
MID_SKYCASTLE_SEASON_MINUTES: $a距離賽季結束還有$a0分鐘
MID_SKYCASTLE_CLOSED: 目前未舉行賽事。
MID_SKYCASTLE_TUTORIAL: 正在進行教學模式，\n評價不會產生變化。
MID_SKYCASTLE_AGGREGATING: 現正統計中。
MID_SKYCASTLE_ENERGY: 能量
