[Heroes Archive] (Menu_Tutorial)


Heroes Message Name: Message


MID_ARENA_TITLE: 鬥技場
MID_ARENA_TITLE_REWARD: 檢視報酬
MID_ARENA_TITLE_HISTORY: 防衛結果
MID_ARENA_SEASON_DAYS: $a距離賽季結束還有$a0天
MID_ARENA_SEASON_HOURS: $a距離賽季結束還有$a0小時
MID_ARENA_SEASON_MINUTES: $a距離賽季結束還有$a0分鐘
MID_ARENA_RANK: 階級
MID_ARENA_BONUSCHRS_HEADLINE: 本賽季的獎勵角色
MID_ARENA_BONUSCHRS_CAPTION: 將這些角色加入出擊成員中，即可提升得分！
MID_ARENA_COMBO_CAPTION: $a連勝數 $a0/7　連勝獎勵＋$a1！
MID_ARENA_NO_HISTORY: 無防衛記錄。
MID_ARENA_BTN_BATTLE: 進行對戰
MID_ARENA_BTN_REWARD: 檢視報酬
MID_ARENA_BTN_HISTORY: 防衛結果
MID_ARENA_BTN_HELP: 說明
MID_ARENA_BTN_GIVEUP: 棄權
MID_ARENA_BTN_CONFIRM: 確認
MID_ARENA_DEF_WIN: 防衛成功！
MID_ARENA_EASY: 初級
MID_ARENA_NORMAL: 中級
MID_ARENA_HARD: 上級
MID_ARENA_SELECT_OPPONENT_HEADLINE: 請選擇對戰對手。
MID_ARENA_RESULT_HEADLINE: 本次對戰結果
MID_ARENA_TOTAL_SCORE: 合計得分
MID_ARENA_THIS_SCORE: 本次得分
MID_ARENA_COMBO_SCORE: 連勝獎勵
MID_ARENA_RENEWAL_HISCORE: 刷新最高得分！
MID_ARENA_STOP_VICTORIES: 連勝中斷……
MID_ARENA_REWARD_TYPE: 報酬種類
MID_ARENA_SORT_RANK: 排名
MID_ARENA_SORT_OFFENSE: 勝利
MID_ARENA_SORT_DEFENSE: 防衛
MID_ARENA_SORT_REWARDTYPE_RANK: 報酬種類：排名
MID_ARENA_SORT_REWARDTYPE_OFFENSE: 報酬種類：勝利
MID_ARENA_SORT_REWARDTYPE_DEFENSE: 報酬種類：防衛
MID_ARENA_GAINED_REWARDTYPE_RANK: $a鬥技場‧排名報酬　$a0名
MID_ARENA_GAINED_REWARDTYPE_OFFENSE: $a鬥技場‧勝利報酬　得分：$a1
MID_ARENA_GAINED_REWARDTYPE_DEFENSE: $a鬥技場‧防衛報酬　得分：$a2
MID_ARENA_RANK_OUT_OF_RANGE: 排名外
MID_ARENA_CLOSED: 目前未舉行賽事。
MID_ARENA_DIALOG_REWARD_SORT: 請選擇篩選條件。
MID_ARENA_DIALOG_BATTLE_CONFIRM_TEXT: 要使用1對戰權\n進入下一場戰鬥嗎？
MID_ARENA_DIALOG_BATTLE_CONFIRM_WARNING: 看過戰鬥對手之後\n就無法取消。
MID_ARENA_DIALOG_BATTLE_CONFIRM_YES: 進行戰鬥
MID_ARENA_DIALOG_BATTLE_CONFIRM_NO: 取消
MID_ARENA_DIALOG_GIVEUP_TEXT: 真的要棄權嗎？
